"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Los Angeles Chargers","1","2025","Los Angeles","Chargers","53","45.3","0.25","52.8","0.33","58.5","0.33","41.5","0.24","7.5","37.7","7.5","0.0","18.9","20.8","5.7"
"2","Dallas Cowboys","1","2025","Dallas","Cowboys","47","31.9","0.43","63.8","0.20","34.0","0.48","66.0","0.16","6.4","14.9","25.5","10.6","19.1","6.4","12.8"
"3","New England Patriots","1","2025","New England","Patriots","47","29.8","0.73","70.2","0.32","74.5","0.27","25.5","0.95","2.1","25.5","14.9","2.1","48.9","2.1","4.3"
"4","New York Jets","1","2025","New York","Jets","47","19.1","0.18","70.2","0.38","51.1","0.44","48.9","0.36","4.3","14.9","14.9","0.0","36.2","17.0","2.1"
"5","Atlanta Falcons","1","2025","Atlanta","Falcons","45","20.0","-0.06","80.0","0.21","55.6","0.13","44.4","0.19","2.2","17.8","22.2","0.0","37.8","8.9","11.1"
"6","Tennessee Titans","1","2025","Tennessee","Titans","45","22.2","0.15","73.3","0.21","55.6","0.21","44.4","0.38","2.2","17.8","17.8","0.0","35.6","13.3","6.7"
"7","New Orleans Saints","1","2025","New Orleans","Saints","45","15.6","0.11","84.4","0.31","57.8","0.14","42.2","0.47","6.7","8.9","20.0","0.0","48.9","15.6","0.0"
"8","Houston Texans","1","2025","Houston","Texans","43","20.9","0.33","74.4","0.30","67.4","0.38","32.6","0.10","0.0","20.9","9.3","0.0","46.5","2.3","16.3"
"9","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","43","18.6","0.44","79.1","0.16","51.2","0.10","48.8","0.31","2.3","16.3","7.0","0.0","34.9","27.9","9.3"
"10","San Francisco 49ers","1","2025","San Francisco","49ers","42","21.4","0.68","76.2","0.26","38.1","0.53","61.9","0.23","2.4","19.0","14.3","0.0","19.0","26.2","16.7"
"11","Kansas City Chiefs","1","2025","Kansas City","Chiefs","41","61.0","0.37","36.6","0.28","63.4","0.22","36.6","0.52","4.9","56.1","2.4","0.0","7.3","17.1","9.8"
"12","Arizona Cardinals","1","2025","Arizona","Cardinals","40","12.5","0.99","82.5","0.25","45.0","0.28","55.0","0.36","2.5","10.0","10.0","0.0","35.0","25.0","12.5"
"13","Baltimore Ravens","1","2025","Baltimore","Ravens","38","36.8","0.94","60.5","0.53","55.3","0.70","44.7","0.64","5.3","21.1","18.4","10.5","34.2","5.3","2.6"
"14","Cleveland Browns","1","2025","Cleveland","Browns","38","28.9","0.07","65.8","0.16","68.4","0.12","31.6","0.12","0.0","28.9","7.9","0.0","39.5","5.3","13.2"
"15","New York Giants","1","2025","New York","Giants","38","13.2","-0.41","78.9","0.30","13.2","-0.01","86.8","0.22","5.3","5.3","50.0","0.0","7.9","10.5","10.5"
"16","Philadelphia Eagles","1","2025","Philadelphia","Eagles","37","24.3","1.16","75.7","0.35","48.6","0.26","51.4","0.82","8.1","13.5","27.0","0.0","35.1","13.5","0.0"
"17","Miami Dolphins","1","2025","Miami","Dolphins","35","20.0","1.27","68.6","0.16","31.4","0.14","68.6","0.50","5.7","2.9","22.9","11.4","28.6","5.7","11.4"
"18","Los Angeles Rams","1","2025","Los Angeles","Rams","35","45.7","0.16","45.7","0.50","42.9","0.20","57.1","0.59","5.7","37.1","2.9","2.9","5.7","25.7","11.4"
"19","Las Vegas Raiders","1","2025","Las Vegas","Raiders","34","20.6","0.02","79.4","0.87","47.1","0.53","52.9","0.84","0.0","11.8","14.7","8.8","35.3","20.6","8.8"
"20","Tampa Bay Buccaneers","1","2025","Tampa Bay","Buccaneers","33","24.2","1.08","72.7","0.38","33.3","0.87","66.7","0.37","0.0","21.2","27.3","0.0","12.1","33.3","0.0"
"21","Buffalo Bills","1","2025","Buffalo","Bills","32","40.6","0.93","59.4","0.56","46.9","0.64","53.1","0.78","15.6","25.0","28.1","0.0","21.9","6.3","3.1"
"22","Denver Broncos","1","2025","Denver","Broncos","32","0.0","0.00","96.9","0.45","59.4","0.26","40.6","0.69","0.0","","3.1","0.0","59.4","31.3","3.1"
"23","Green Bay Packers","1","2025","Green Bay","Packers","31","29.0","0.24","71.0","0.39","48.4","0.39","51.6","0.30","0.0","29.0","25.8","0.0","19.4","9.7","16.1"
"24","Cincinnati Bengals","1","2025","Cincinnati","Bengals","31","6.5","0.04","90.3","0.12","12.9","0.16","87.1","0.26","3.2","","48.4","3.2","12.9","6.5","22.6"
"25","Minnesota Vikings","1","2025","Minnesota","Vikings","29","31.0","0.12","65.5","0.59","69.0","0.54","31.0","0.62","0.0","27.6","10.3","3.4","41.4","3.4","10.3"
"26","Chicago Bears","1","2025","Chicago","Bears","29","10.3","2.43","79.3","0.71","72.4","1.11","27.6","0.61","3.4","6.9","6.9","0.0","65.5","3.4","3.4"
"27","Detroit Lions","1","2025","Detroit","Lions","29","37.9","0.64","55.2","0.34","58.6","0.53","41.4","0.30","3.4","34.5","13.8","0.0","24.1","6.9","10.3"
"28","Carolina Panthers","1","2025","Carolina","Panthers","27","22.2","0.35","77.8","0.45","74.1","0.49","25.9","0.25","0.0","22.2","0.0","0.0","51.9","22.2","3.7"
"29","Indianapolis Colts","1","2025","Indianapolis","Colts","27","3.7","1.16","96.3","0.53","33.3","0.50","66.7","0.58","0.0","3.7","25.9","0.0","29.6","22.2","18.5"
"30","Pittsburgh Steelers","1","2025","Pittsburgh","Steelers","24","29.2","1.34","70.8","0.21","54.2","0.72","45.8","0.32","0.0","25.0","20.8","4.2","29.2","16.7","4.2"
"31","Washington Commanders","1","2025","Washington","Commanders","23","4.3","0.00","91.3","0.88","69.6","1.07","30.4","0.21","0.0","4.3","21.7","0.0","65.2","4.3","0.0"
"32","Seattle Seahawks","1","2025","Seattle","Seahawks","21","9.5","2.28","90.5","0.67","85.7","0.84","14.3","0.73","0.0","9.5","4.8","0.0","76.2","9.5","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
