"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Washington Commanders","1","2022","Washington","Commanders","53","32.1","0.67","64.2","0.44","37.7","0.46","62.3","0.53","7.5","20.8","32.1","3.8","15.1","7.5","9.4"
"2","Arizona Cardinals","1","2022","Arizona","Cardinals","52","38.5","0.49","59.6","0.22","42.3","0.54","57.7","0.29","3.8","28.8","36.5","0.0","13.5","5.8","3.8"
"3","Miami Dolphins","1","2022","Miami","Dolphins","51","29.4","1.05","62.7","0.64","45.1","0.71","54.9","0.87","2.0","19.6","7.8","3.9","25.5","13.7","15.7"
"4","Minnesota Vikings","1","2022","Minnesota","Vikings","50","18.0","0.34","76.0","0.23","32.0","0.43","68.0","0.15","4.0","10.0","8.0","4.0","18.0","36.0","14.0"
"5","Los Angeles Chargers","1","2022","Los Angeles","Chargers","50","26.0","0.30","66.0","0.37","20.0","0.68","80.0","0.44","8.0","14.0","34.0","0.0","6.0","16.0","10.0"
"6","New York Jets","1","2022","New York","Jets","48","12.5","1.00","77.1","0.47","35.4","0.60","64.6","0.60","2.1","8.3","20.8","2.1","27.1","8.3","20.8"
"7","New Orleans Saints","1","2022","New Orleans","Saints","47","2.1","0.00","91.5","0.15","42.6","0.15","57.4","0.28","0.0","2.1","14.9","0.0","40.4","23.4","12.8"
"8","Cincinnati Bengals","1","2022","Cincinnati","Bengals","45","26.7","0.29","71.1","0.22","40.0","0.25","60.0","0.38","0.0","22.2","48.9","4.4","17.8","4.4","0.0"
"9","New York Giants","1","2022","New York","Giants","43","9.3","0.35","88.4","0.32","46.5","0.49","53.5","0.16","0.0","7.0","25.6","2.3","39.5","18.6","4.7"
