"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Cleveland Browns","1","2023","Cleveland","Browns","49","16.3","0.11","81.6","0.38","49.0","0.17","51.0","0.64","0.0","16.3","20.4","0.0","32.7","22.4","6.1"
"2","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","48","27.1","0.27","72.9","0.38","41.7","0.49","58.3","0.24","4.2","20.8","16.7","2.1","20.8","18.8","16.7"
"3","New York Giants","1","2023","New York","Giants","47","27.7","0.14","70.2","0.20","42.6","0.09","57.4","0.24","2.1","21.3","27.7","4.3","21.3","21.3","0.0"
"4","Cincinnati Bengals","1","2023","Cincinnati","Bengals","47","6.4","0.12","93.6","0.45","34.0","0.28","66.0","0.50","6.4","","27.7","0.0","34.0","27.7","4.3"
"5","Arizona Cardinals","1","2023","Arizona","Cardinals","45","11.1","0.21","84.4","0.31","46.7","0.16","53.3","0.39","4.4","6.7","11.1","0.0","40.0","31.1","2.2"
"6","Chicago Bears","1","2023","Chicago","Bears","45","37.8","0.34","55.6","0.24","64.4","0.20","35.6","0.25","2.2","35.6","20.0","0.0","24.4","0.0","11.1"
"7","New York Jets","1","2023","New York","Jets","43","23.3","0.01","76.7","0.04","58.1","-0.01","41.9","0.10","0.0","23.3","2.3","0.0","34.9","14.0","25.6"
"8","Washington Commanders","1","2023","Washington","Commanders","41","36.6","0.31","56.1","0.62","61.0","0.41","39.0","0.81","0.0","34.1","7.3","2.4","26.8","14.6","7.3"
"9","Kansas City Chiefs","1","2023","Kansas City","Chiefs","41","36.6","0.90","58.5","0.19","65.9","0.62","34.1","0.39","2.4","31.7","12.2","2.4","34.1","12.2","0.0"
"10","Green Bay Packers","1","2023","Green Bay","Packers","41","14.6","0.21","85.4","0.49","46.3","0.46","53.7","0.44","7.3","2.4","9.8","4.9","43.9","24.4","7.3"
"11","Dallas Cowboys","1","2023","Dallas","Cowboys","41","9.8","0.13","90.2","0.18","41.5","0.21","58.5","0.15","0.0","2.4","26.8","7.3","39.0","14.6","9.8"
"12","Houston Texans","1","2023","Houston","Texans","40","17.5","0.61","70.0","0.14","35.0","0.26","65.0","0.33","2.5","12.5","17.5","2.5","22.5","30.0","0.0"
"13","Minnesota Vikings","1","2023","Minnesota","Vikings","39","25.6","0.60","71.8","0.32","53.8","0.44","46.2","0.53","0.0","23.1","7.7","2.6","30.8","25.6","7.7"
"14","Las Vegas Raiders","1","2023","Las Vegas","Raiders","37","16.2","1.79","78.4","0.53","62.2","0.96","37.8","0.59","0.0","16.2","5.4","0.0","43.2","13.5","16.2"
"15","Los Angeles Rams","1","2023","Los Angeles","Rams","37","27.0","0.07","62.2","0.78","43.2","0.58","56.8","0.44","5.4","21.6","2.7","0.0","21.6","24.3","13.5"
"16","Philadelphia Eagles","1","2023","Philadelphia","Eagles","37","21.6","0.33","78.4","0.43","59.5","0.32","40.5","0.53","0.0","21.6","0.0","0.0","37.8","27.0","13.5"
"17","Detroit Lions","1","2023","Detroit","Lions","36","38.9","0.73","58.3","0.79","55.6","0.94","44.4","0.77","2.8","33.3","13.9","0.0","22.2","13.9","8.3"
"18","Los Angeles Chargers","1","2023","Los Angeles","Chargers","36","13.9","-0.14","83.3","0.56","50.0","0.49","50.0","0.64","2.8","11.1","22.2","0.0","38.9","13.9","8.3"
"19","Tennessee Titans","1","2023","Tennessee","Titans","36","11.1","0.14","88.9","0.28","33.3","0.23","66.7","0.27","2.8","8.3","0.0","0.0","25.0","41.7","22.2"
"20","Seattle Seahawks","1","2023","Seattle","Seahawks","35","31.4","0.72","68.6","0.18","48.6","0.56","51.4","0.16","2.9","22.9","8.6","5.7","25.7","28.6","5.7"
"21","New England Patriots","1","2023","New England","Patriots","35","37.1","0.66","62.9","0.07","40.0","0.47","60.0","0.18","5.7","22.9","22.9","8.6","17.1","20.0","2.9"
"22","Denver Broncos","1","2023","Denver","Broncos","35","31.4","0.13","60.0","0.29","48.6","0.22","51.4","0.46","2.9","28.6","22.9","0.0","20.0","5.7","11.4"
"23","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","33","15.2","0.96","84.8","0.91","51.5","1.32","48.5","0.49","0.0","15.2","12.1","0.0","36.4","15.2","21.2"
"24","Indianapolis Colts","1","2023","Indianapolis","Colts","32","37.5","1.21","62.5","0.31","40.6","1.19","59.4","0.27","9.4","28.1","43.8","0.0","12.5","0.0","6.3"
"25","Baltimore Ravens","1","2023","Baltimore","Ravens","31","16.1","0.12","77.4","0.51","54.8","0.54","45.2","0.27","0.0","16.1","3.2","0.0","35.5","16.1","22.6"
"26","New Orleans Saints","1","2023","New Orleans","Saints","30","23.3","0.27","70.0","0.50","53.3","0.62","46.7","0.77","3.3","20.0","10.0","0.0","33.3","20.0","6.7"
"27","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","30","0.0","0.00","96.7","0.16","43.3","0.25","56.7","0.33","0.0","","10.0","0.0","43.3","16.7","26.7"
"28","Miami Dolphins","1","2023","Miami","Dolphins","29","20.7","0.17","75.9","0.55","34.5","0.28","65.5","0.54","0.0","20.7","0.0","0.0","13.8","31.0","31.0"
"29","San Francisco 49ers","1","2023","San Francisco","49ers","28","14.3","1.13","67.9","0.87","39.3","0.67","60.7","1.12","0.0","14.3","10.7","0.0","10.7","42.9","3.6"
"30","Carolina Panthers","1","2023","Carolina","Panthers","28","35.7","0.48","57.1","0.20","67.9","0.36","32.1","0.11","0.0","32.1","10.7","3.6","32.1","3.6","10.7"
"31","Atlanta Falcons","1","2023","Atlanta","Falcons","21","4.8","0.36","95.2","0.44","57.1","0.52","42.9","0.33","0.0","4.8","4.8","0.0","52.4","19.0","19.0"
"32","Buffalo Bills","1","2023","Buffalo","Bills","19","63.2","0.65","36.8","0.23","78.9","0.51","21.1","0.47","10.5","52.6","10.5","0.0","26.3","0.0","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
