"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Detroit Lions","1","2024","Detroit","Lions","64","17.2","0.97","76.6","0.62","39.1","1.11","60.9","0.34","3.1","9.4","26.6","4.7","29.7","12.5","7.8"
"2","Jacksonville Jaguars","1","2024","Jacksonville","Jaguars","51","39.2","0.70","51.0","0.25","54.9","0.40","45.1","0.40","2.0","35.3","2.0","2.0","19.6","15.7","13.7"
"3","Las Vegas Raiders","1","2024","Las Vegas","Raiders","46","15.2","0.95","80.4","0.20","37.0","0.22","63.0","0.32","2.2","8.7","2.2","4.3","26.1","37.0","15.2"
"4","Washington Commanders","1","2024","Washington","Commanders","45","24.4","0.57","75.6","0.45","37.8","0.36","62.2","0.55","4.4","20.0","28.9","0.0","17.8","24.4","4.4"
"5","Indianapolis Colts","1","2024","Indianapolis","Colts","43","39.5","0.20","60.5","0.11","48.8","0.28","51.2","0.02","0.0","39.5","20.9","0.0","9.3","23.3","7.0"
"6","Miami Dolphins","1","2024","Miami","Dolphins","43","23.3","-0.05","76.7","0.25","51.2","0.26","48.8","0.10","0.0","23.3","37.2","0.0","27.9","9.3","2.3"
"7","Kansas City Chiefs","1","2024","Kansas City","Chiefs","42","59.5","0.54","40.5","0.17","78.6","0.44","21.4","0.21","4.8","54.8","7.1","0.0","23.8","9.5","0.0"
"8","Minnesota Vikings","1","2024","Minnesota","Vikings","42","9.5","0.20","83.3","0.20","35.7","0.23","64.3","0.32","2.4","7.1","28.6","0.0","28.6","11.9","14.3"
"9","Seattle Seahawks","1","2024","Seattle","Seahawks","42","11.9","-0.14","88.1","0.17","52.4","0.21","47.6","0.05","2.4","9.5","38.1","0.0","42.9","2.4","4.8"
