"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Washington Commanders","1","2023","Washington","Commanders","55","30.9","0.51","69.1","0.61","56.4","0.54","43.6","0.63","0.0","30.9","20.0","0.0","25.5","10.9","12.7"
"2","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","50","6.0","1.63","88.0","0.21","44.0","0.39","56.0","0.17","0.0","6.0","22.0","0.0","34.0","8.0","24.0"
"3","Green Bay Packers","1","2023","Green Bay","Packers","49","14.3","0.00","77.6","0.30","51.0","0.30","49.0","0.33","4.1","10.2","22.4","0.0","40.8","12.2","2.0"
"4","Miami Dolphins","1","2023","Miami","Dolphins","49","36.7","0.75","61.2","0.39","57.1","0.21","42.9","0.92","8.2","18.4","12.2","6.1","38.8","10.2","0.0"
"5","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","48","16.7","1.24","81.3","0.24","37.5","0.43","62.5","0.39","2.1","10.4","12.5","4.2","27.1","31.3","10.4"
"6","Buffalo Bills","1","2023","Buffalo","Bills","45","33.3","0.29","62.2","0.62","71.1","0.42","28.9","0.63","0.0","31.1","8.9","2.2","37.8","13.3","2.2"
"7","Kansas City Chiefs","1","2023","Kansas City","Chiefs","44","11.4","0.24","86.4","0.19","29.5","0.21","70.5","0.19","0.0","11.4","15.9","0.0","18.2","34.1","18.2"
"8","Indianapolis Colts","1","2023","Indianapolis","Colts","44","40.9","0.27","50.0","0.47","61.4","0.22","38.6","0.57","4.5","34.1","15.9","0.0","18.2","11.4","4.5"
"9","Atlanta Falcons","1","2023","Atlanta","Falcons","43","14.0","0.51","79.1","0.21","44.2","0.22","55.8","0.44","0.0","14.0","20.9","0.0","30.2","27.9","0.0"
"10","New York Jets","1","2023","New York","Jets","43","65.1","0.25","32.6","0.59","79.1","0.21","20.9","0.87","0.0","60.5","9.3","4.7","16.3","2.3","4.7"
"11","Arizona Cardinals","1","2023","Arizona","Cardinals","41","24.4","0.51","70.7","0.37","43.9","0.21","56.1","0.54","0.0","22.0","19.5","2.4","22.0","19.5","9.8"
"12","Dallas Cowboys","1","2023","Dallas","Cowboys","41","17.1","1.07","75.6","0.59","43.9","0.63","56.1","0.78","2.4","14.6","7.3","0.0","29.3","14.6","24.4"
"13","Philadelphia Eagles","1","2023","Philadelphia","Eagles","41","31.7","1.03","65.9","0.44","39.0","0.55","61.0","0.82","2.4","22.0","26.8","7.3","17.1","19.5","2.4"
"14","Los Angeles Chargers","1","2023","Los Angeles","Chargers","41","39.0","0.49","58.5","0.49","73.2","0.51","26.8","0.79","0.0","36.6","7.3","2.4","36.6","14.6","0.0"
"15","Carolina Panthers","1","2023","Carolina","Panthers","40","25.0","0.83","70.0","0.22","40.0","0.44","60.0","0.32","7.5","17.5","2.5","0.0","22.5","32.5","12.5"
"16","Minnesota Vikings","1","2023","Minnesota","Vikings","39","20.5","0.90","74.4","0.43","64.1","0.64","35.9","0.25","0.0","20.5","5.1","0.0","43.6","25.6","0.0"
"17","Chicago Bears","1","2023","Chicago","Bears","39","7.7","0.09","92.3","0.20","33.3","0.09","66.7","0.25","0.0","7.7","23.1","0.0","25.6","17.9","25.6"
"18","San Francisco 49ers","1","2023","San Francisco","49ers","39","17.9","0.45","74.4","0.39","64.1","0.42","35.9","0.77","0.0","17.9","15.4","0.0","46.2","10.3","2.6"
"19","Cincinnati Bengals","1","2023","Cincinnati","Bengals","38","23.7","1.28","65.8","0.42","55.3","0.76","44.7","0.62","0.0","21.1","5.3","2.6","34.2","15.8","10.5"
"20","Seattle Seahawks","1","2023","Seattle","Seahawks","38","42.1","0.48","55.3","0.20","84.2","0.30","15.8","1.11","0.0","42.1","10.5","0.0","42.1","0.0","2.6"
"21","Detroit Lions","1","2023","Detroit","Lions","38","26.3","0.17","71.1","0.44","44.7","0.45","55.3","0.29","2.6","23.7","21.1","0.0","21.1","5.3","23.7"
"22","Cleveland Browns","1","2023","Cleveland","Browns","37","10.8","0.28","83.8","0.37","48.6","0.56","51.4","0.13","0.0","10.8","0.0","0.0","37.8","32.4","13.5"
"23","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","36","36.1","0.41","61.1","0.46","83.3","0.24","16.7","1.39","0.0","36.1","8.3","0.0","47.2","2.8","2.8"
"24","Los Angeles Rams","1","2023","Los Angeles","Rams","35","34.3","0.41","65.7","0.31","77.1","0.36","22.9","0.29","0.0","31.4","14.3","2.9","45.7","5.7","0.0"
