"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Los Angeles Rams","1","2023","Los Angeles","Rams","60","21.7","0.14","75.0","0.22","56.7","0.25","43.3","0.29","0.0","20.0","15.0","1.7","36.7","21.7","1.7"
"2","Houston Texans","1","2023","Houston","Texans","54","3.7","0.38","83.3","0.47","66.7","0.56","33.3","0.14","1.9","1.9","7.4","0.0","61.1","14.8","0.0"
"3","Cleveland Browns","1","2023","Cleveland","Browns","49","32.7","0.15","65.3","0.22","73.5","0.31","26.5","0.18","0.0","32.7","14.3","0.0","38.8","2.0","10.2"
"4","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","49","26.5","0.34","69.4","0.21","44.9","0.27","55.1","0.21","4.1","14.3","8.2","6.1","28.6","22.4","10.2"
"5","New England Patriots","1","2023","New England","Patriots","47","14.9","0.23","83.0","0.21","55.3","0.15","44.7","0.48","0.0","14.9","2.1","0.0","40.4","6.4","34.0"
"6","Minnesota Vikings","1","2023","Minnesota","Vikings","46","17.4","0.79","78.3","0.53","50.0","0.56","50.0","0.73","2.2","8.7","8.7","4.3","37.0","0.0","32.6"
"7","Washington Commanders","1","2023","Washington","Commanders","45","33.3","0.55","64.4","0.45","53.3","0.27","46.7","0.70","4.4","28.9","4.4","0.0","22.2","11.1","26.7"
"8","New York Giants","1","2023","New York","Giants","45","13.3","0.21","73.3","0.42","44.4","0.59","55.6","0.48","4.4","8.9","11.1","0.0","31.1","22.2","8.9"
"9","Kansas City Chiefs","1","2023","Kansas City","Chiefs","45","15.6","1.24","82.2","0.26","57.8","0.39","42.2","0.66","4.4","11.1","15.6","0.0","46.7","15.6","4.4"
"10","Seattle Seahawks","1","2023","Seattle","Seahawks","45","24.4","0.89","71.1","0.42","44.4","0.56","55.6","0.48","2.2","11.1","20.0","8.9","31.1","17.8","2.2"
"11","Los Angeles Chargers","1","2023","Los Angeles","Chargers","44","29.5","0.82","61.4","0.35","56.8","0.58","43.2","0.30","0.0","29.5","18.2","0.0","27.3","15.9","0.0"
"12","Cincinnati Bengals","1","2023","Cincinnati","Bengals","43","41.9","0.64","53.5","0.21","46.5","0.42","53.5","0.35","7.0","20.9","7.0","14.0","25.6","7.0","14.0"
"13","Denver Broncos","1","2023","Denver","Broncos","42","19.0","0.59","61.9","0.58","16.7","0.47","83.3","0.65","2.4","11.9","19.0","4.8","4.8","31.0","7.1"
"14","New Orleans Saints","1","2023","New Orleans","Saints","41","19.5","0.18","73.2","0.23","68.3","0.25","31.7","0.11","0.0","19.5","0.0","0.0","46.3","9.8","17.1"
"15","Baltimore Ravens","1","2023","Baltimore","Ravens","40","35.0","0.81","65.0","0.38","62.5","0.67","37.5","0.30","5.0","30.0","15.0","0.0","32.5","15.0","2.5"
"16","Dallas Cowboys","1","2023","Dallas","Cowboys","40","25.0","0.39","67.5","0.28","47.5","0.35","52.5","0.62","2.5","20.0","0.0","2.5","27.5","37.5","2.5"
"17","Carolina Panthers","1","2023","Carolina","Panthers","39","25.6","0.81","74.4","0.15","61.5","0.32","38.5","0.33","2.6","23.1","20.5","0.0","38.5","10.3","5.1"
"18","Buffalo Bills","1","2023","Buffalo","Bills","39","48.7","0.74","46.2","0.27","48.7","0.57","51.3","0.60","10.3","35.9","10.3","2.6","12.8","15.4","7.7"
"19","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","38","13.2","0.38","84.2","0.52","42.1","0.69","57.9","0.35","0.0","10.5","36.8","0.0","31.6","5.3","10.5"
