"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Kansas City Chiefs","1","2023","Kansas City","Chiefs","58","15.5","0.58","75.9","0.28","46.6","0.30","53.4","0.33","0.0","15.5","20.7","0.0","31.0","17.2","6.9"
"2","Houston Texans","1","2023","Houston","Texans","53","24.5","0.61","75.5","0.19","62.3","0.12","37.7","0.57","3.8","20.8","20.8","0.0","41.5","7.5","5.7"
"3","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","52","21.2","0.37","75.0","0.43","42.3","0.60","57.7","0.25","7.7","3.8","13.5","9.6","38.5","15.4","7.7"
"4","San Francisco 49ers","1","2023","San Francisco","49ers","51","17.6","0.32","78.4","0.15","35.3","0.35","64.7","0.21","5.9","11.8","3.9","0.0","23.5","25.5","25.5"
"5","New York Jets","1","2023","New York","Jets","51","23.5","0.42","68.6","0.26","25.5","0.15","74.5","0.30","5.9","13.7","3.9","0.0","11.8","35.3","17.6"
"6","Indianapolis Colts","1","2023","Indianapolis","Colts","46","15.2","0.09","84.8","0.25","63.0","0.14","37.0","0.37","0.0","13.0","8.7","2.2","50.0","4.3","21.7"
"7","Cincinnati Bengals","1","2023","Cincinnati","Bengals","45","4.4","0.14","91.1","0.34","62.2","0.14","37.8","0.62","2.2","2.2","28.9","0.0","57.8","0.0","4.4"
"8","Cleveland Browns","1","2023","Cleveland","Browns","45","15.6","1.74","82.2","0.34","31.1","1.02","68.9","0.34","2.2","6.7","20.0","2.2","24.4","28.9","8.9"
"9","New Orleans Saints","1","2023","New Orleans","Saints","43","11.6","0.05","83.7","0.54","60.5","0.77","39.5","0.24","0.0","7.0","2.3","4.7","51.2","18.6","11.6"
"10","Denver Broncos","1","2023","Denver","Broncos","43","37.2","0.37","55.8","0.55","53.5","0.49","46.5","0.38","9.3","23.3","18.6","4.7","30.2","4.7","2.3"
"11","Arizona Cardinals","1","2023","Arizona","Cardinals","42","11.9","2.03","81.0","0.21","47.6","0.68","52.4","0.23","0.0","11.9","42.9","0.0","35.7","2.4","0.0"
"12","Philadelphia Eagles","1","2023","Philadelphia","Eagles","41","43.9","0.58","56.1","0.24","56.1","0.54","43.9","0.20","22.0","22.0","0.0","0.0","34.1","14.6","7.3"
"13","Minnesota Vikings","1","2023","Minnesota","Vikings","41","36.6","0.51","56.1","0.55","43.9","0.34","56.1","0.63","4.9","12.2","2.4","14.6","31.7","0.0","22.0"
"14","Detroit Lions","1","2023","Detroit","Lions","41","26.8","0.30","68.3","0.24","56.1","0.24","43.9","0.48","2.4","17.1","7.3","0.0","39.0","19.5","2.4"
"15","Carolina Panthers","1","2023","Carolina","Panthers","40","52.5","0.62","45.0","0.49","67.5","0.59","32.5","0.46","0.0","52.5","15.0","0.0","15.0","5.0","10.0"
"16","Seattle Seahawks","1","2023","Seattle","Seahawks","40","17.5","0.50","80.0","0.30","35.0","0.28","65.0","0.51","2.5","10.0","17.5","5.0","25.0","37.5","0.0"
"17","Baltimore Ravens","1","2023","Baltimore","Ravens","39","41.0","0.48","51.3","0.48","46.2","0.68","53.8","0.46","23.1","17.9","10.3","0.0","28.2","12.8","0.0"
"18","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","39","17.9","1.07","74.4","0.29","51.3","0.76","48.7","0.25","0.0","12.8","7.7","0.0","35.9","17.9","12.8"
"19","Los Angeles Chargers","1","2023","Los Angeles","Chargers","39","17.9","0.25","74.4","0.23","46.2","0.27","53.8","0.19","0.0","17.9","20.5","0.0","23.1","15.4","15.4"
"20","Miami Dolphins","1","2023","Miami","Dolphins","38","31.6","0.53","65.8","0.37","52.6","0.31","47.4","0.53","5.3","15.8","7.9","10.5","36.8","21.1","0.0"
"21","Dallas Cowboys","1","2023","Dallas","Cowboys","38","34.2","0.69","60.5","0.50","39.5","0.76","60.5","0.39","5.3","28.9","2.6","0.0","10.5","13.2","34.2"
"22","Washington Commanders","1","2023","Washington","Commanders","37","45.9","0.32","51.4","0.19","51.4","0.06","48.6","0.45","5.4","37.8","13.5","2.7","13.5","18.9","5.4"
"23","New England Patriots","1","2023","New England","Patriots","36","36.1","0.24","58.3","0.47","52.8","0.51","47.2","0.46","8.3","25.0","2.8","2.8","27.8","16.7","11.1"
"24","New York Giants","1","2023","New York","Giants","35","14.3","0.10","77.1","0.49","48.6","0.28","51.4","0.43","2.9","11.4","17.1","0.0","37.1","17.1","5.7"
"25","Atlanta Falcons","1","2023","Atlanta","Falcons","35","0.0","0.00","94.3","0.43","57.1","0.52","42.9","0.25","0.0","","14.3","0.0","57.1","14.3","8.6"
"26","Los Angeles Rams","1","2023","Los Angeles","Rams","35","34.3","0.66","62.9","0.60","68.6","0.69","31.4","0.42","0.0","34.3","8.6","0.0","31.4","22.9","0.0"
"27","Tennessee Titans","1","2023","Tennessee","Titans","35","11.4","0.17","85.7","0.45","37.1","0.46","62.9","0.38","0.0","8.6","0.0","0.0","28.6","34.3","22.9"
"28","Chicago Bears","1","2023","Chicago","Bears","33","33.3","0.91","66.7","0.48","24.2","0.07","75.8","0.80","21.2","12.1","21.2","0.0","12.1","21.2","12.1"
"29","Green Bay Packers","1","2023","Green Bay","Packers","30","40.0","0.32","53.3","0.62","70.0","0.34","30.0","1.19","3.3","36.7","10.0","0.0","30.0","6.7","6.7"
"30","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","29","27.6","1.10","69.0","0.58","62.1","1.02","37.9","0.18","3.4","20.7","3.4","0.0","41.4","13.8","10.3"
"31","Buffalo Bills","1","2023","Buffalo","Bills","23","13.0","0.31","87.0","0.60","52.2","0.38","47.8","0.75","0.0","13.0","13.0","0.0","39.1","8.7","26.1"
"32","Las Vegas Raiders","1","2023","Las Vegas","Raiders","23","43.5","0.05","52.2","0.16","47.8","0.16","52.2","0.06","4.3","30.4","4.3","4.3","17.4","26.1","4.3"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
