"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","New York Giants","1","2023","New York","Giants","51","3.9","0.24","96.1","0.21","47.1","0.24","52.9","0.18","0.0","3.9","2.0","0.0","43.1","11.8","39.2"
"2","Washington Commanders","1","2023","Washington","Commanders","51","43.1","0.34","51.0","0.27","68.6","0.33","31.4","0.46","3.9","39.2","0.0","0.0","29.4","9.8","11.8"
"3","Arizona Cardinals","1","2023","Arizona","Cardinals","47","14.9","0.44","80.9","0.39","36.2","0.42","63.8","0.49","0.0","14.9","17.0","0.0","21.3","42.6","0.0"
"4","Las Vegas Raiders","1","2023","Las Vegas","Raiders","46","6.5","-0.31","87.0","0.18","23.9","0.22","76.1","0.12","4.3","","26.1","2.2","23.9","15.2","21.7"
"5","Philadelphia Eagles","1","2023","Philadelphia","Eagles","44","27.3","0.16","72.7","0.68","47.7","0.63","52.3","0.46","6.8","20.5","13.6","0.0","27.3","31.8","0.0"
"6","Los Angeles Rams","1","2023","Los Angeles","Rams","44","13.6","0.93","81.8","0.31","61.4","0.39","38.6","0.39","2.3","11.4","13.6","0.0","47.7","15.9","4.5"
"7","Cleveland Browns","1","2023","Cleveland","Browns","43","20.9","-0.12","79.1","0.16","48.8","0.09","51.2","0.11","4.7","16.3","2.3","0.0","32.6","30.2","14.0"
"8","New Orleans Saints","1","2023","New Orleans","Saints","43","14.0","0.18","86.0","0.08","41.9","0.11","58.1","0.08","2.3","2.3","16.3","9.3","39.5","20.9","9.3"
"9","New York Jets","1","2023","New York","Jets","42","31.0","0.47","64.3","0.27","31.0","0.32","69.0","0.52","2.4","14.3","19.0","11.9","14.3","21.4","9.5"
"10","Chicago Bears","1","2023","Chicago","Bears","41","22.0","0.81","73.2","0.61","56.1","0.67","43.9","0.79","2.4","19.5","9.8","0.0","36.6","7.3","19.5"
"11","Green Bay Packers","1","2023","Green Bay","Packers","41","9.8","1.01","87.8","0.22","58.5","0.18","41.5","0.45","2.4","7.3","9.8","0.0","51.2","26.8","0.0"
"12","Miami Dolphins","1","2023","Miami","Dolphins","41","19.5","0.21","75.6","0.28","29.3","0.20","70.7","0.43","0.0","12.2","24.4","7.3","17.1","24.4","9.8"
"13","Carolina Panthers","1","2023","Carolina","Panthers","39","28.2","0.18","69.2","0.23","43.6","0.23","56.4","0.19","15.4","12.8","35.9","0.0","30.8","2.6","0.0"
"14","Dallas Cowboys","1","2023","Dallas","Cowboys","39","41.0","0.57","56.4","0.27","64.1","0.48","35.9","0.24","15.4","23.1","17.9","2.6","38.5","0.0","0.0"
"15","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","39","28.2","1.02","66.7","0.34","48.7","0.64","51.3","0.60","0.0","15.4","15.4","12.8","33.3","15.4","2.6"
"16","Atlanta Falcons","1","2023","Atlanta","Falcons","36","22.2","0.67","77.8","0.14","80.6","0.26","19.4","0.24","2.8","19.4","2.8","0.0","61.1","13.9","0.0"
"17","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","36","41.7","0.39","55.6","0.52","55.6","0.19","44.4","0.77","0.0","30.6","11.1","8.3","25.0","8.3","11.1"
"18","Cincinnati Bengals","1","2023","Cincinnati","Bengals","35","28.6","0.15","68.6","0.18","48.6","0.13","51.4","0.20","5.7","22.9","17.1","0.0","25.7","20.0","5.7"
"19","Kansas City Chiefs","1","2023","Kansas City","Chiefs","35","34.3","0.68","62.9","0.28","54.3","0.43","45.7","0.44","0.0","34.3","0.0","0.0","20.0","40.0","2.9"
"20","New England Patriots","1","2023","New England","Patriots","34","47.1","0.14","50.0","0.22","76.5","0.20","23.5","0.10","0.0","47.1","11.8","0.0","26.5","8.8","2.9"
"21","Houston Texans","1","2023","Houston","Texans","33","27.3","0.98","57.6","0.44","48.5","0.98","51.5","0.61","3.0","21.2","15.2","3.0","24.2","3.0","15.2"
"22","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","32","6.3","0.24","87.5","0.16","46.9","0.29","53.1","0.04","0.0","6.3","15.6","0.0","40.6","9.4","21.9"
"23","Detroit Lions","1","2023","Detroit","Lions","31","19.4","0.59","80.6","0.36","64.5","0.52","35.5","0.19","0.0","19.4","9.7","0.0","45.2","6.5","19.4"
"24","Los Angeles Chargers","1","2023","Los Angeles","Chargers","31","6.5","0.74","87.1","0.40","71.0","0.47","29.0","1.00","3.2","3.2","0.0","0.0","67.7","19.4","0.0"
"25","Denver Broncos","1","2023","Denver","Broncos","31","3.2","0.00","93.5","0.62","41.9","0.21","58.1","1.08","0.0","3.2","51.6","0.0","38.7","0.0","3.2"
"26","Tennessee Titans","1","2023","Tennessee","Titans","31","35.5","1.03","61.3","0.32","58.1","0.24","41.9","1.03","12.9","19.4","6.5","0.0","38.7","6.5","9.7"
"27","Indianapolis Colts","1","2023","Indianapolis","Colts","30","33.3","0.77","63.3","0.33","60.0","0.73","40.0","0.41","0.0","26.7","6.7","6.7","30.0","10.0","16.7"
"28","Buffalo Bills","1","2023","Buffalo","Bills","29","31.0","1.40","65.5","0.89","31.0","1.47","69.0","0.82","13.8","13.8","3.4","0.0","17.2","24.1","20.7"
"29","Seattle Seahawks","1","2023","Seattle","Seahawks","29","37.9","0.12","58.6","0.38","58.6","0.14","41.4","0.81","10.3","27.6","0.0","0.0","31.0","10.3","17.2"
"30","Baltimore Ravens","1","2023","Baltimore","Ravens","26","46.2","0.38","50.0","0.63","80.8","0.67","19.2","0.59","3.8","42.3","7.7","0.0","34.6","0.0","7.7"
"31","San Francisco 49ers","1","2023","San Francisco","49ers","22","18.2","0.29","77.3","0.58","68.2","0.44","31.8","1.25","0.0","18.2","4.5","0.0","50.0","22.7","0.0"
"32","Minnesota Vikings","1","2023","Minnesota","Vikings","21","23.8","0.87","76.2","0.45","61.9","0.83","38.1","0.10","0.0","19.0","4.8","4.8","42.9","14.3","14.3"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Team Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
