game_id,teams,kickoff,stadium,home_team,away_team
2013_03_KC_PHI,KC@PHI,2013-09-19T20:25,Lincoln Financial Field,PHI,KC
2013_03_HOU_BAL,HOU@BAL,2013-09-22T13:00,M&T Bank Stadium,BAL,HOU
2013_03_NYG_CAR,NYG@CAR,2013-09-22T13:00,Bank of America Stadium,CAR,NYG
2013_03_GB_CIN,GB@CIN,2013-09-22T13:00,Paul Brown Stadium,CIN,GB
2013_03_STL_DAL,STL@DAL,2013-09-22T13:00,AT&T Stadium,DAL,STL
2013_03_CLE_MIN,CLE@MIN,2013-09-22T13:00,Mall of America Field,MIN,CLE
2013_03_TB_NE,TB@NE,2013-09-22T13:00,Gillette Stadium,NE,TB
2013_03_ARI_NO,ARI@NO,2013-09-22T13:00,Mercedes-Benz Superdome,NO,ARI
2013_03_SD_TEN,SD@TEN,2013-09-22T13:00,LP Field,TEN,SD
2013_03_DET_WAS,DET@WAS,2013-09-22T13:00,FedExField,WAS,DET
2013_03_ATL_MIA,ATL@MIA,2013-09-22T16:05,Sun Life Stadium,MIA,ATL
2013_03_BUF_NYJ,BUF@NYJ,2013-09-22T16:25,MetLife Stadium,NYJ,BUF
2013_03_JAX_SEA,JAX@SEA,2013-09-22T16:25,CenturyLink Field,SEA,JAX
2013_03_IND_SF,IND@SF,2013-09-22T16:25,Candlestick Park,SF,IND
2013_03_CHI_PIT,CHI@PIT,2013-09-22T20:30,Heinz Field,PIT,CHI
2013_03_OAK_DEN,OAK@DEN,2013-09-23T20:30,Sports Authority Field at Mile High,DEN,OAK
