game_id,teams,kickoff,stadium,home_team,away_team
2013_06_NYG_CHI,NYG@CHI,2013-10-10T20:25,Soldier Field,CHI,NYG
2013_06_GB_BAL,GB@BAL,2013-10-13T13:00,M&T Bank Stadium,BAL,GB
2013_06_CIN_BUF,CIN@BUF,2013-10-13T13:00,Ralph Wilson Stadium,BUF,CIN
2013_06_DET_CLE,DET@CLE,2013-10-13T13:00,FirstEnergy Stadium,CLE,DET
2013_06_STL_HOU,STL@HOU,2013-10-13T13:00,Reliant Stadium,HOU,STL
2013_06_OAK_KC,OAK@KC,2013-10-13T13:00,Arrowhead Stadium,KC,OAK
2013_06_CAR_MIN,CAR@MIN,2013-10-13T13:00,Mall of America Field,MIN,CAR
2013_06_PIT_NYJ,PIT@NYJ,2013-10-13T13:00,MetLife Stadium,NYJ,PIT
2013_06_PHI_TB,PHI@TB,2013-10-13T13:00,Raymond James Stadium,TB,PHI
2013_06_JAX_DEN,JAX@DEN,2013-10-13T16:05,Sports Authority Field at Mile High,DEN,JAX
2013_06_TEN_SEA,TEN@SEA,2013-10-13T16:05,CenturyLink Field,SEA,TEN
2013_06_NO_NE,NO@NE,2013-10-13T16:25,Gillette Stadium,NE,NO
2013_06_ARI_SF,ARI@SF,2013-10-13T16:25,Candlestick Park,SF,ARI
2013_06_WAS_DAL,WAS@DAL,2013-10-13T20:30,AT&T Stadium,DAL,WAS
2013_06_IND_SD,IND@SD,2013-10-14T20:30,Qualcomm Stadium,SD,IND
