game_id,teams,kickoff,stadium,home_team,away_team
2013_12_NO_ATL,NO@ATL,2013-11-21T20:25,Georgia Dome,ATL,NO
2013_12_NYJ_BAL,NYJ@BAL,2013-11-24T13:00,M&T Bank Stadium,BAL,NYJ
2013_12_PIT_CLE,PIT@CLE,2013-11-24T13:00,FirstEnergy Stadium,CLE,PIT
2013_12_TB_DET,TB@DET,2013-11-24T13:00,Ford Field,DET,TB
2013_12_MIN_GB,MIN@GB,2013-11-24T13:00,Lambeau Field,GB,MIN
2013_12_JAX_HOU,JAX@HOU,2013-11-24T13:00,Reliant Stadium,HOU,JAX
2013_12_SD_KC,SD@KC,2013-11-24T13:00,Arrowhead Stadium,KC,SD
2013_12_CAR_MIA,CAR@MIA,2013-11-24T13:00,Sun Life Stadium,MIA,CAR
2013_12_CHI_STL,CHI@STL,2013-11-24T13:00,Edward Jones Dome,STL,CHI
2013_12_IND_ARI,IND@ARI,2013-11-24T16:05,University of Phoenix Stadium,ARI,IND
2013_12_TEN_OAK,TEN@OAK,2013-11-24T16:05,O.co Coliseum,OAK,TEN
2013_12_DAL_NYG,DAL@NYG,2013-11-24T16:25,MetLife Stadium,NYG,DAL
2013_12_DEN_NE,DEN@NE,2013-11-24T20:30,Gillette Stadium,NE,DEN
2013_12_SF_WAS,SF@WAS,2013-11-25T20:30,FedExField,WAS,SF
