"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Indianapolis Colts","1","2022","Indianapolis","Colts","63","22.2","0.35","69.8","0.43","49.2","0.33","50.8","0.70","0.0","17.5","15.9","0.0","28.6","17.5","7.9"
"2","San Francisco 49ers","1","2022","San Francisco","49ers","48","14.6","0.14","83.3","0.25","56.3","0.26","43.8","0.40","0.0","14.6","6.3","0.0","41.7","27.1","8.3"
"3","Cincinnati Bengals","1","2022","Cincinnati","Bengals","46","26.1","0.27","63.0","0.20","56.5","0.19","43.5","0.84","0.0","23.9","10.9","2.2","32.6","13.0","6.5"
"4","Houston Texans","1","2022","Houston","Texans","46","28.3","0.34","65.2","0.72","50.0","0.84","50.0","0.49","0.0","28.3","21.7","0.0","21.7","15.2","6.5"
"5","Dallas Cowboys","1","2022","Dallas","Cowboys","45","24.4","0.82","68.9","0.49","55.6","0.45","44.4","0.87","2.2","22.2","22.2","0.0","31.1","15.6","0.0"
"6","Tennessee Titans","1","2022","Tennessee","Titans","45","26.7","0.25","68.9","0.24","46.7","0.32","53.3","0.16","2.2","24.4","31.1","0.0","22.2","11.1","4.4"
"7","Miami Dolphins","1","2022","Miami","Dolphins","43","55.8","0.80","44.2","0.42","74.4","0.58","25.6","0.78","9.3","46.5","14.0","0.0","27.9","2.3","0.0"
"8","Chicago Bears","1","2022","Chicago","Bears","42","28.6","0.56","71.4","0.19","66.7","0.29","33.3","0.29","7.1","21.4","11.9","0.0","45.2","7.1","7.1"
"9","Tampa Bay Buccaneers","1","2022","Tampa Bay","Buccaneers","42","21.4","1.33","73.8","0.25","59.5","0.29","40.5","0.98","7.1","14.3","11.9","0.0","45.2","11.9","4.8"
"10","New England Patriots","1","2022","New England","Patriots","41","24.4","1.04","75.6","0.32","65.9","0.46","34.1","0.56","0.0","24.4","19.5","0.0","41.5","9.8","4.9"
"11","Detroit Lions","1","2022","Detroit","Lions","40","52.5","0.45","45.0","0.59","65.0","0.46","35.0","0.57","5.0","37.5","0.0","10.0","25.0","17.5","2.5"
"12","Denver Broncos","1","2022","Denver","Broncos","40","7.5","-0.33","92.5","0.14","47.5","0.10","52.5","0.10","0.0","7.5","2.5","0.0","40.0","12.5","37.5"
"13","New York Jets","1","2022","New York","Jets","38","21.1","1.11","78.9","0.17","52.6","0.57","47.4","0.15","0.0","21.1","0.0","0.0","31.6","42.1","5.3"
"14","Minnesota Vikings","1","2022","Minnesota","Vikings","37","35.1","0.42","64.9","0.25","59.5","0.17","40.5","0.51","5.4","27.0","2.7","2.7","32.4","8.1","21.6"
"15","Cleveland Browns","1","2022","Cleveland","Browns","35","17.1","0.19","82.9","0.16","65.7","0.13","34.3","0.23","0.0","17.1","0.0","0.0","48.6","25.7","8.6"
"16","New Orleans Saints","1","2022","New Orleans","Saints","35","31.4","0.19","62.9","0.15","45.7","0.19","54.3","0.24","5.7","22.9","8.6","2.9","22.9","22.9","8.6"
"17","Washington Commanders","1","2022","Washington","Commanders","34","11.8","0.18","88.2","0.25","52.9","0.24","47.1","0.25","0.0","8.8","26.5","2.9","44.1","14.7","2.9"
"18","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","34","32.4","0.47","61.8","0.65","67.6","0.30","32.4","1.21","5.9","23.5","5.9","2.9","41.2","14.7","0.0"
"19","New York Giants","1","2022","New York","Giants","33","24.2","0.80","69.7","0.32","39.4","0.75","60.6","0.16","0.0","18.2","0.0","0.0","21.2","12.1","36.4"
