"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Seattle Seahawks","1","2022","Seattle","Seahawks","50","18.0","0.15","78.0","0.16","54.0","0.13","46.0","0.14","0.0","18.0","12.0","0.0","36.0","2.0","28.0"
"2","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","49","30.6","0.09","67.3","0.28","65.3","0.24","34.7","0.17","0.0","28.6","26.5","2.0","36.7","4.1","0.0"
"3","Carolina Panthers","1","2022","Carolina","Panthers","48","16.7","0.13","81.3","0.73","43.8","0.25","56.3","0.89","0.0","14.6","20.8","0.0","29.2","20.8","10.4"
"4","Denver Broncos","1","2022","Denver","Broncos","45","28.9","0.39","64.4","0.54","73.3","0.39","26.7","1.02","4.4","24.4","0.0","0.0","44.4","11.1","8.9"
"5","Atlanta Falcons","1","2022","Atlanta","Falcons","44","31.8","0.51","68.2","0.22","52.3","0.24","47.7","0.38","6.8","25.0","22.7","0.0","27.3","11.4","6.8"
"6","New England Patriots","1","2022","New England","Patriots","44","11.4","-0.11","88.6","0.47","47.7","0.49","52.3","0.32","2.3","9.1","38.6","0.0","38.6","4.5","6.8"
"7","Tennessee Titans","1","2022","Tennessee","Titans","44","31.8","0.22","65.9","0.37","56.8","0.32","43.2","0.55","2.3","29.5","4.5","0.0","27.3","25.0","9.1"
"8","Kansas City Chiefs","1","2022","Kansas City","Chiefs","43","18.6","0.24","81.4","0.44","44.2","0.41","55.8","0.40","0.0","14.0","4.7","4.7","30.2","34.9","11.6"
"9","Dallas Cowboys","1","2022","Dallas","Cowboys","42","14.3","1.00","81.0","0.17","47.6","0.25","52.4","0.32","2.4","11.9","42.9","0.0","33.3","4.8","0.0"
"10","Tampa Bay Buccaneers","1","2022","Tampa Bay","Buccaneers","41","19.5","0.77","73.2","0.62","61.0","0.69","39.0","0.53","2.4","17.1","12.2","0.0","41.5","12.2","7.3"
"11","Green Bay Packers","1","2022","Green Bay","Packers","39","20.5","0.06","71.8","0.47","28.2","0.48","71.8","0.46","0.0","17.9","12.8","2.6","7.7","20.5","30.8"
"12","San Francisco 49ers","1","2022","San Francisco","49ers","38","23.7","0.76","57.9","0.87","57.9","0.77","42.1","0.66","0.0","23.7","10.5","0.0","34.2","7.9","5.3"
"13","New Orleans Saints","1","2022","New Orleans","Saints","38","26.3","0.25","68.4","0.40","39.5","0.67","60.5","0.17","0.0","18.4","23.7","7.9","15.8","28.9","0.0"
"14","Miami Dolphins","1","2022","Miami","Dolphins","36","50.0","0.48","47.2","0.21","72.2","0.43","27.8","0.49","13.9","36.1","8.3","0.0","36.1","2.8","0.0"
"15","New York Jets","1","2022","New York","Jets","35","25.7","0.81","68.6","0.17","40.0","0.59","60.0","0.36","2.9","22.9","31.4","0.0","14.3","11.4","11.4"
"16","Las Vegas Raiders","1","2022","Las Vegas","Raiders","35","34.3","0.66","60.0","0.30","71.4","0.37","28.6","0.92","5.7","28.6","11.4","0.0","42.9","0.0","5.7"
