"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","San Francisco 49ers","1","2022","San Francisco","49ers","56","35.7","0.14","58.9","0.18","69.6","0.16","30.4","0.15","0.0","35.7","5.4","0.0","33.9","14.3","5.4"
"2","Kansas City Chiefs","1","2022","Kansas City","Chiefs","53","28.3","0.54","62.3","0.40","30.2","0.59","69.8","0.46","7.5","13.2","13.2","7.5","13.2","24.5","11.3"
"3","Dallas Cowboys","1","2022","Dallas","Cowboys","45","13.3","0.90","84.4","0.10","46.7","0.08","53.3","0.31","2.2","11.1","42.2","0.0","35.6","6.7","0.0"
"4","Tampa Bay Buccaneers","1","2022","Tampa Bay","Buccaneers","43","16.3","0.23","67.4","0.45","51.2","0.14","48.8","0.98","0.0","14.0","20.9","2.3","30.2","14.0","2.3"
"5","New Orleans Saints","1","2022","New Orleans","Saints","42","23.8","0.32","69.0","0.37","54.8","0.29","45.2","0.41","4.8","16.7","9.5","2.4","35.7","19.0","4.8"
"6","Seattle Seahawks","1","2022","Seattle","Seahawks","42","45.2","0.77","38.1","0.44","59.5","0.54","40.5","0.99","0.0","42.9","2.4","2.4","11.9","4.8","19.0"
"7","Baltimore Ravens","1","2022","Baltimore","Ravens","42","33.3","0.27","64.3","0.31","50.0","0.39","50.0","0.38","7.1","21.4","11.9","2.4","28.6","9.5","14.3"
"8","Tennessee Titans","1","2022","Tennessee","Titans","41","31.7","0.48","65.9","0.37","63.4","0.60","36.6","0.33","0.0","31.7","0.0","0.0","29.3","29.3","7.3"
"9","Houston Texans","1","2022","Houston","Texans","40","40.0","0.78","57.5","0.40","47.5","0.90","52.5","0.21","0.0","40.0","30.0","0.0","7.5","7.5","12.5"
"10","Pittsburgh Steelers","1","2022","Pittsburgh","Steelers","40","42.5","0.39","55.0","0.31","75.0","0.45","25.0","0.42","0.0","42.5","22.5","0.0","30.0","0.0","2.5"
"11","Denver Broncos","1","2022","Denver","Broncos","39","20.5","0.48","74.4","0.25","53.8","0.28","46.2","0.29","5.1","10.3","0.0","5.1","41.0","15.4","17.9"
"12","Los Angeles Chargers","1","2022","Los Angeles","Chargers","39","35.9","0.19","59.0","0.39","43.6","0.51","56.4","0.33","2.6","17.9","15.4","15.4","23.1","2.6","17.9"
"13","Cincinnati Bengals","1","2022","Cincinnati","Bengals","39","17.9","0.08","74.4","0.35","33.3","0.39","66.7","0.39","0.0","15.4","25.6","2.6","15.4","17.9","15.4"
"14","Arizona Cardinals","1","2022","Arizona","Cardinals","38","7.9","-0.25","92.1","0.30","60.5","0.13","39.5","0.46","0.0","5.3","13.2","2.6","55.3","13.2","10.5"
"15","Atlanta Falcons","1","2022","Atlanta","Falcons","38","26.3","0.32","57.9","0.23","52.6","0.33","47.4","0.46","0.0","26.3","18.4","0.0","26.3","10.5","2.6"
"16","Buffalo Bills","1","2022","Buffalo","Bills","38","18.4","0.67","73.7","0.31","26.3","0.18","73.7","0.39","2.6","13.2","10.5","2.6","13.2","31.6","18.4"
"17","New England Patriots","1","2022","New England","Patriots","37","51.4","0.10","45.9","0.88","75.7","0.22","24.3","1.23","0.0","51.4","13.5","0.0","24.3","8.1","0.0"
"18","Miami Dolphins","1","2022","Miami","Dolphins","35","54.3","0.62","42.9","0.36","60.0","0.30","40.0","1.08","2.9","42.9","22.9","0.0","17.1","0.0","2.9"
"19","Carolina Panthers","1","2022","Carolina","Panthers","35","20.0","1.54","80.0","0.22","51.4","0.50","48.6","0.47","2.9","17.1","2.9","0.0","34.3","42.9","0.0"
"20","New York Giants","1","2022","New York","Giants","35","51.4","0.23","48.6","0.41","94.3","0.30","5.7","0.60","0.0","51.4","2.9","0.0","42.9","0.0","2.9"
"21","New York Jets","1","2022","New York","Jets","33","21.2","0.35","69.7","0.12","33.3","0.41","66.7","0.31","3.0","15.2","0.0","3.0","18.2","45.5","6.1"
"22","Detroit Lions","1","2022","Detroit","Lions","32","46.9","1.03","53.1","0.50","56.3","0.64","43.8","0.87","12.5","31.3","6.3","0.0","25.0","3.1","18.8"
"23","Las Vegas Raiders","1","2022","Las Vegas","Raiders","31","9.7","0.86","87.1","0.49","29.0","0.85","71.0","0.56","0.0","6.5","45.2","3.2","22.6","16.1","3.2"
"24","Minnesota Vikings","1","2022","Minnesota","Vikings","30","10.0","0.39","80.0","0.28","43.3","0.33","56.7","0.48","0.0","10.0","13.3","0.0","30.0","6.7","30.0"
"25","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","29","13.8","1.71","86.2","0.28","72.4","0.50","27.6","0.43","0.0","13.8","6.9","0.0","58.6","10.3","10.3"
"26","Washington Commanders","1","2022","Washington","Commanders","29","24.1","0.44","69.0","0.50","37.9","0.81","62.1","0.48","0.0","24.1","3.4","0.0","13.8","20.7","31.0"
"27","Los Angeles Rams","1","2022","Los Angeles","Rams","28","17.9","1.49","75.0","0.29","67.9","0.62","32.1","0.24","0.0","17.9","3.6","0.0","50.0","7.1","14.3"
"28","Philadelphia Eagles","1","2022","Philadelphia","Eagles","27","29.6","0.81","70.4","0.24","59.3","0.34","40.7","0.51","7.4","22.2","7.4","0.0","37.0","14.8","11.1"
"29","Indianapolis Colts","1","2022","Indianapolis","Colts","26","19.2","0.09","73.1","0.30","69.2","0.46","30.8","0.80","0.0","19.2","19.2","0.0","46.2","7.7","0.0"
"30","Green Bay Packers","1","2022","Green Bay","Packers","25","52.0","0.25","48.0","0.43","76.0","0.47","24.0","-0.07","0.0","52.0","4.0","0.0","24.0","8.0","12.0"
"31","Chicago Bears","1","2022","Chicago","Bears","22","54.5","1.38","45.5","0.30","86.4","0.97","13.6","0.36","0.0","50.0","9.1","4.5","36.4","0.0","0.0"
"32","Cleveland Browns","1","2022","Cleveland","Browns","20","35.0","0.05","60.0","0.35","85.0","0.22","15.0","0.27","5.0","25.0","0.0","5.0","55.0","5.0","0.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
