"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Detroit Lions","1","2024","Detroit","Lions","62","29.0","0.43","66.1","0.32","43.5","0.40","56.5","0.30","0.0","25.8","14.5","1.6","17.7","17.7","16.1"
"2","Minnesota Vikings","1","2024","Minnesota","Vikings","56","12.5","1.16","87.5","0.43","19.6","0.30","80.4","0.57","7.1","","25.0","1.8","19.6","41.1","1.8"
"3","Denver Broncos","1","2024","Denver","Broncos","51","43.1","0.21","54.9","0.22","51.0","0.23","49.0","0.20","13.7","25.5","7.8","3.9","25.5","17.6","3.9"
"4","Philadelphia Eagles","1","2024","Philadelphia","Eagles","50","38.0","0.57","58.0","0.40","48.0","0.35","52.0","0.56","6.0","26.0","4.0","2.0","22.0","20.0","12.0"
"5","Jacksonville Jaguars","1","2024","Jacksonville","Jaguars","46","8.7","1.13","84.8","0.54","21.7","1.26","78.3","0.49","4.3","2.2","32.6","2.2","17.4","13.0","21.7"
"6","Cincinnati Bengals","1","2024","Cincinnati","Bengals","43","34.9","0.58","60.5","0.31","62.8","0.59","37.2","0.05","0.0","32.6","4.7","2.3","30.2","9.3","16.3"
"7","Indianapolis Colts","1","2024","Indianapolis","Colts","42","9.5","0.20","76.2","0.35","52.4","0.31","47.6","1.11","2.4","4.8","4.8","0.0","47.6","16.7","7.1"
"8","Las Vegas Raiders","1","2024","Las Vegas","Raiders","42","11.9","0.90","85.7","0.24","33.3","0.19","66.7","0.38","2.4","4.8","33.3","2.4","26.2","14.3","11.9"
"9","Dallas Cowboys","1","2024","Dallas","Cowboys","41","19.5","0.13","75.6","0.32","61.0","0.26","39.0","0.24","0.0","17.1","14.6","0.0","41.5","4.9","14.6"
"10","San Francisco 49ers","1","2024","San Francisco","49ers","39","28.2","0.64","69.2","0.06","66.7","0.21","33.3","0.26","2.6","25.6","7.7","0.0","41.0","17.9","2.6"
"11","Atlanta Falcons","1","2024","Atlanta","Falcons","38","10.5","0.22","86.8","0.25","42.1","0.21","57.9","0.26","7.9","2.6","7.9","0.0","39.5","18.4","21.1"
"12","Tampa Bay Buccaneers","1","2024","Tampa Bay","Buccaneers","37","8.1","1.35","91.9","0.18","62.2","0.27","37.8","0.27","0.0","8.1","29.7","0.0","54.1","8.1","0.0"
