"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Washington Commanders","1","2023","Washington","Commanders","49","24.5","0.66","73.5","0.45","38.8","0.30","61.2","0.61","4.1","16.3","24.5","4.1","22.4","12.2","14.3"
"2","Houston Texans","1","2023","Houston","Texans","47","19.1","0.11","78.7","0.57","34.0","0.16","66.0","0.63","0.0","19.1","10.6","0.0","14.9","21.3","31.9"
"3","Seattle Seahawks","1","2023","Seattle","Seahawks","47","21.3","0.56","78.7","0.51","48.9","0.36","51.1","0.68","0.0","21.3","6.4","0.0","27.7","31.9","12.8"
"4","Minnesota Vikings","1","2023","Minnesota","Vikings","47","14.9","0.41","83.0","0.34","46.8","0.22","53.2","0.45","4.3","8.5","44.7","2.1","36.2","2.1","0.0"
"5","Las Vegas Raiders","1","2023","Las Vegas","Raiders","46","13.0","0.63","84.8","0.29","52.2","0.46","47.8","0.18","4.3","8.7","23.9","0.0","41.3","17.4","2.2"
"6","New York Giants","1","2023","New York","Giants","46","37.0","1.12","54.3","0.52","52.2","1.01","47.8","0.75","4.3","28.3","4.3","0.0","23.9","15.2","10.9"
"7","Baltimore Ravens","1","2023","Baltimore","Ravens","46","32.6","0.21","58.7","0.28","58.7","0.15","41.3","0.59","2.2","30.4","4.3","0.0","28.3","15.2","10.9"
"8","Chicago Bears","1","2023","Chicago","Bears","44","20.5","0.47","79.5","0.14","61.4","0.23","38.6","0.17","0.0","20.5","11.4","0.0","40.9","15.9","11.4"
"9","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","43","27.9","1.05","67.4","0.24","55.8","0.41","44.2","0.46","2.3","23.3","20.9","2.3","30.2","7.0","9.3"
"10","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","43","23.3","0.18","72.1","0.17","58.1","0.17","41.9","0.15","0.0","18.6","20.9","4.7","39.5","7.0","4.7"
"11","New Orleans Saints","1","2023","New Orleans","Saints","41","29.3","0.34","63.4","0.51","36.6","0.40","63.4","0.69","2.4","26.8","24.4","0.0","9.8","26.8","2.4"
"12","Cincinnati Bengals","1","2023","Cincinnati","Bengals","41","26.8","0.10","63.4","0.42","73.2","0.44","26.8","0.89","4.9","22.0","7.3","0.0","46.3","7.3","2.4"
"13","Detroit Lions","1","2023","Detroit","Lions","41","36.6","0.35","61.0","0.80","65.9","0.61","34.1","0.91","2.4","31.7","12.2","0.0","34.1","14.6","0.0"
"14","San Francisco 49ers","1","2023","San Francisco","49ers","39","23.1","0.25","74.4","0.10","51.3","0.14","48.7","0.13","0.0","23.1","10.3","0.0","28.2","25.6","10.3"
"15","Buffalo Bills","1","2023","Buffalo","Bills","37","21.6","0.66","73.0","0.33","37.8","0.29","62.2","0.63","5.4","8.1","16.2","8.1","29.7","10.8","16.2"
"16","Carolina Panthers","1","2023","Carolina","Panthers","37","13.5","0.14","86.5","0.23","73.0","0.23","27.0","0.17","0.0","13.5","5.4","0.0","59.5","2.7","18.9"
"17","Dallas Cowboys","1","2023","Dallas","Cowboys","37","27.0","0.44","67.6","0.23","73.0","0.36","27.0","0.48","5.4","21.6","10.8","0.0","45.9","10.8","0.0"
