"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Arizona Cardinals","1","2022","Arizona","Cardinals","53","9.4","0.92","83.0","0.40","39.6","0.17","60.4","0.73","3.8","5.7","22.6","0.0","34.0","20.8","5.7"
"2","Detroit Lions","1","2022","Detroit","Lions","50","34.0","0.54","62.0","0.25","58.0","0.36","42.0","0.54","0.0","32.0","22.0","2.0","24.0","8.0","8.0"
"3","Houston Texans","1","2022","Houston","Texans","48","16.7","0.06","68.8","0.36","33.3","0.28","66.7","0.38","2.1","14.6","33.3","0.0","16.7","8.3","10.4"
"4","Cleveland Browns","1","2022","Cleveland","Browns","46","19.6","0.58","73.9","0.24","47.8","0.58","52.2","0.21","0.0","15.2","4.3","2.2","30.4","21.7","17.4"
"5","Los Angeles Rams","1","2022","Los Angeles","Rams","46","15.2","1.01","78.3","0.34","69.6","0.25","30.4","0.82","0.0","13.0","0.0","2.2","52.2","15.2","10.9"
"6","Miami Dolphins","1","2022","Miami","Dolphins","46","23.9","0.55","76.1","0.16","71.7","0.26","28.3","0.22","4.3","19.6","23.9","0.0","52.2","0.0","0.0"
"7","Tampa Bay Buccaneers","1","2022","Tampa Bay","Buccaneers","43","14.0","0.50","79.1","0.20","37.2","0.24","62.8","0.38","0.0","11.6","9.3","0.0","25.6","34.9","9.3"
"8","Baltimore Ravens","1","2022","Baltimore","Ravens","42","16.7","0.94","78.6","0.39","35.7","0.24","64.3","0.75","4.8","11.9","14.3","0.0","23.8","23.8","16.7"
"9","Minnesota Vikings","1","2022","Minnesota","Vikings","42","9.5","0.28","81.0","0.62","40.5","0.28","59.5","0.74","0.0","9.5","16.7","0.0","28.6","7.1","28.6"
"10","Las Vegas Raiders","1","2022","Las Vegas","Raiders","42","21.4","0.25","73.8","0.65","52.4","0.79","47.6","0.25","0.0","14.3","19.0","0.0","38.1","9.5","7.1"
"11","Tennessee Titans","1","2022","Tennessee","Titans","42","21.4","0.34","78.6","0.47","50.0","0.39","50.0","0.48","0.0","21.4","16.7","0.0","28.6","26.2","7.1"
"12","Carolina Panthers","1","2022","Carolina","Panthers","40","17.5","0.59","77.5","0.16","32.5","0.15","67.5","0.28","5.0","7.5","5.0","5.0","25.0","35.0","12.5"
"13","Pittsburgh Steelers","1","2022","Pittsburgh","Steelers","39","35.9","0.41","59.0","0.30","59.0","0.37","41.0","0.28","0.0","23.1","10.3","10.3","35.9","2.6","10.3"
"14","Buffalo Bills","1","2022","Buffalo","Bills","39","48.7","0.61","51.3","0.30","59.0","0.47","41.0","0.42","7.7","41.0","2.6","0.0","17.9","25.6","5.1"
"15","Dallas Cowboys","1","2022","Dallas","Cowboys","39","17.9","0.91","74.4","0.26","56.4","0.33","43.6","0.40","2.6","12.8","23.1","2.6","43.6","7.7","0.0"
"16","Seattle Seahawks","1","2022","Seattle","Seahawks","39","28.2","0.65","69.2","0.57","33.3","0.97","66.7","0.39","0.0","17.9","10.3","5.1","15.4","10.3","33.3"
"17","New England Patriots","1","2022","New England","Patriots","39","35.9","0.52","56.4","0.35","71.8","0.57","28.2","0.67","2.6","25.6","10.3","5.1","41.0","5.1","0.0"
"18","New Orleans Saints","1","2022","New Orleans","Saints","38","39.5","0.23","47.4","0.29","55.3","0.46","44.7","0.18","2.6","36.8","21.1","0.0","10.5","13.2","2.6"
"19","Cincinnati Bengals","1","2022","Cincinnati","Bengals","37","21.6","0.11","75.7","0.42","48.6","0.50","51.4","0.19","8.1","10.8","27.0","2.7","37.8","5.4","5.4"
"20","Jacksonville Jaguars","1","2022","Jacksonville","Jaguars","37","18.9","1.22","70.3","0.37","70.3","0.52","29.7","0.43","0.0","18.9","13.5","0.0","43.2","10.8","2.7"
"21","San Francisco 49ers","1","2022","San Francisco","49ers","35","34.3","0.29","54.3","0.35","54.3","0.30","45.7","0.29","2.9","28.6","14.3","2.9","25.7","14.3","0.0"
"22","Green Bay Packers","1","2022","Green Bay","Packers","35","34.3","0.69","62.9","0.47","88.6","0.59","11.4","1.11","5.7","28.6","0.0","0.0","60.0","0.0","2.9"
"23","Indianapolis Colts","1","2022","Indianapolis","Colts","34","41.2","0.27","55.9","0.28","58.8","0.25","41.2","0.29","2.9","35.3","11.8","2.9","23.5","8.8","11.8"
"24","Los Angeles Chargers","1","2022","Los Angeles","Chargers","33","48.5","0.17","39.4","0.73","45.5","0.21","54.5","1.09","6.1","36.4","9.1","6.1","3.0","15.2","12.1"
"25","New York Giants","1","2022","New York","Giants","31","54.8","0.56","41.9","0.57","51.6","0.38","48.4","0.73","16.1","32.3","0.0","0.0","19.4","22.6","0.0"
"26","Chicago Bears","1","2022","Chicago","Bears","30","20.0","1.59","70.0","0.51","66.7","0.79","33.3","0.89","3.3","13.3","16.7","3.3","50.0","3.3","0.0"
"27","Kansas City Chiefs","1","2022","Kansas City","Chiefs","30","33.3","0.40","63.3","0.25","43.3","0.09","56.7","0.46","10.0","23.3","3.3","0.0","20.0","20.0","20.0"
"28","Philadelphia Eagles","1","2022","Philadelphia","Eagles","28","14.3","2.79","85.7","0.37","64.3","0.98","35.7","0.25","0.0","14.3","10.7","0.0","50.0","17.9","7.1"
"29","New York Jets","1","2022","New York","Jets","28","21.4","0.84","75.0","0.32","60.7","0.31","39.3","0.49","3.6","17.9","3.6","0.0","42.9","3.6","25.0"
"30","Washington Commanders","1","2022","Washington","Commanders","26","3.8","0.00","88.5","0.30","38.5","0.26","61.5","0.46","0.0","3.8","19.2","0.0","34.6","30.8","3.8"
"31","Atlanta Falcons","1","2022","Atlanta","Falcons","23","4.3","0.68","95.7","0.54","73.9","0.42","26.1","0.90","0.0","4.3","17.4","0.0","69.6","8.7","0.0"
"32","Denver Broncos","1","2022","Denver","Broncos","20","10.0","0.46","85.0","0.33","85.0","0.24","15.0","2.24","0.0","10.0","0.0","0.0","75.0","0.0","10.0"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
