"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Cleveland Browns","1","2023","Cleveland","Browns","56","25.0","0.65","73.2","0.17","48.2","0.27","51.8","0.46","8.9","16.1","28.6","0.0","32.1","0.0","12.5"
"2","Los Angeles Rams","1","2023","Los Angeles","Rams","53","13.2","1.11","86.8","0.49","47.2","0.50","52.8","0.64","7.5","5.7","5.7","0.0","41.5","28.3","11.3"
"3","Kansas City Chiefs","1","2023","Kansas City","Chiefs","49","34.7","0.22","61.2","0.35","36.7","0.21","63.3","0.33","6.1","16.3","6.1","12.2","18.4","24.5","12.2"
"4","Denver Broncos","1","2023","Denver","Broncos","48","29.2","0.11","70.8","0.22","66.7","0.10","33.3","0.36","0.0","25.0","2.1","4.2","41.7","12.5","14.6"
"5","Las Vegas Raiders","1","2023","Las Vegas","Raiders","46","19.6","0.10","80.4","0.19","67.4","0.16","32.6","0.19","6.5","13.0","17.4","0.0","54.3","2.2","6.5"
"6","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","46","15.2","0.82","80.4","0.30","43.5","0.43","56.5","0.53","2.2","13.0","10.9","0.0","30.4","15.2","23.9"
"7","Buffalo Bills","1","2023","Buffalo","Bills","45","31.1","0.21","60.0","0.27","46.7","0.26","53.3","0.39","0.0","26.7","13.3","4.4","20.0","15.6","11.1"
"8","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","45","35.6","0.34","60.0","0.43","40.0","0.48","60.0","0.35","11.1","13.3","22.2","8.9","24.4","11.1","2.2"
"9","Philadelphia Eagles","1","2023","Philadelphia","Eagles","43","16.3","0.99","81.4","0.32","37.2","0.80","62.8","0.20","2.3","14.0","4.7","0.0","23.3","41.9","11.6"
"10","Cincinnati Bengals","1","2023","Cincinnati","Bengals","43","27.9","0.20","67.4","0.23","46.5","0.17","53.5","0.42","2.3","25.6","30.2","0.0","20.9","11.6","4.7"
"11","Baltimore Ravens","1","2023","Baltimore","Ravens","43","20.9","0.82","69.8","0.27","41.9","0.46","58.1","0.62","2.3","16.3","27.9","2.3","25.6","11.6","4.7"
"12","New Orleans Saints","1","2023","New Orleans","Saints","43","41.9","0.14","53.5","0.26","67.4","0.18","32.6","0.23","4.7","37.2","2.3","0.0","30.2","20.9","0.0"
"13","New York Giants","1","2023","New York","Giants","42","31.0","0.39","66.7","0.25","61.9","0.16","38.1","0.48","7.1","21.4","2.4","0.0","40.5","11.9","11.9"
"14","Houston Texans","1","2023","Houston","Texans","42","23.8","0.25","71.4","0.45","50.0","0.55","50.0","0.41","2.4","21.4","7.1","0.0","28.6","35.7","0.0"
"15","New England Patriots","1","2023","New England","Patriots","42","31.0","0.50","59.5","0.20","59.5","0.20","40.5","0.48","7.1","19.0","23.8","4.8","33.3","2.4","0.0"
"16","Tennessee Titans","1","2023","Tennessee","Titans","41","22.0","0.20","68.3","0.32","41.5","0.32","58.5","0.19","2.4","12.2","29.3","2.4","29.3","7.3","2.4"
"17","Miami Dolphins","1","2023","Miami","Dolphins","41","4.9","2.06","85.4","0.39","48.8","0.63","51.2","0.25","0.0","4.9","4.9","0.0","39.0","2.4","39.0"
"18","Detroit Lions","1","2023","Detroit","Lions","40","20.0","1.13","67.5","0.28","55.0","0.66","45.0","0.50","0.0","20.0","0.0","0.0","30.0","27.5","10.0"
"19","Chicago Bears","1","2023","Chicago","Bears","39","15.4","0.15","84.6","0.23","56.4","0.32","43.6","0.08","2.6","12.8","15.4","0.0","43.6","23.1","2.6"
"20","San Francisco 49ers","1","2023","San Francisco","49ers","38","13.2","0.43","86.8","0.46","36.8","0.25","63.2","0.57","0.0","13.2","28.9","0.0","23.7","31.6","2.6"
"21","Minnesota Vikings","1","2023","Minnesota","Vikings","36","5.6","0.76","86.1","0.10","25.0","0.13","75.0","0.17","0.0","","44.4","5.6","25.0","11.1","5.6"
"22","Los Angeles Chargers","1","2023","Los Angeles","Chargers","36","16.7","0.06","83.3","0.54","47.2","0.39","52.8","0.53","2.8","13.9","2.8","0.0","33.3","5.6","41.7"
"23","New York Jets","1","2023","New York","Jets","33","51.5","0.09","48.5","0.15","69.7","0.11","30.3","0.14","0.0","51.5","3.0","0.0","18.2","21.2","6.1"
"24","Pittsburgh Steelers","1","2023","Pittsburgh","Steelers","32","43.8","0.55","53.1","0.57","68.8","0.37","31.3","1.37","0.0","43.8","18.8","0.0","25.0","6.3","3.1"
"25","Atlanta Falcons","1","2023","Atlanta","Falcons","31","29.0","0.13","67.7","0.40","19.4","0.15","80.6","0.52","0.0","12.9","9.7","16.1","6.5","0.0","51.6"
"26","Seattle Seahawks","1","2023","Seattle","Seahawks","31","6.5","-0.50","93.5","0.81","54.8","0.66","45.2","0.81","0.0","6.5","3.2","0.0","48.4","19.4","22.6"
"27","Dallas Cowboys","1","2023","Dallas","Cowboys","29","37.9","0.13","58.6","0.38","65.5","0.35","34.5","0.23","6.9","31.0","10.3","0.0","31.0","13.8","3.4"
"28","Carolina Panthers","1","2023","Carolina","Panthers","27","14.8","1.04","81.5","0.35","66.7","0.44","33.3","0.42","3.7","11.1","0.0","0.0","55.6","11.1","14.8"
"29","Green Bay Packers","1","2023","Green Bay","Packers","27","18.5","0.43","77.8","0.34","77.8","0.60","22.2","0.19","0.0","18.5","11.1","0.0","55.6","0.0","11.1"
"30","Indianapolis Colts","1","2023","Indianapolis","Colts","27","7.4","0.22","85.2","0.58","59.3","0.65","40.7","0.75","0.0","7.4","11.1","0.0","51.9","0.0","22.2"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
