"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Dallas Cowboys","1","2025","Dallas","Cowboys","54","14.8","1.29","81.5","0.26","31.5","0.24","68.5","0.48","5.6","9.3","38.9","0.0","22.2","3.7","16.7"
"2","Los Angeles Rams","1","2025","Los Angeles","Rams","50","12.0","1.07","82.0","0.37","54.0","0.52","46.0","0.33","2.0","10.0","10.0","0.0","42.0","28.0","2.0"
"3","San Francisco 49ers","1","2025","San Francisco","49ers","48","20.8","1.14","75.0","0.45","52.1","0.67","47.9","0.47","2.1","16.7","2.1","0.0","35.4","22.9","14.6"
"4","Jacksonville Jaguars","1","2025","Jacksonville","Jaguars","46","21.7","0.57","78.3","0.42","50.0","0.42","50.0","0.49","6.5","13.0","6.5","2.2","37.0","15.2","19.6"
"5","New Orleans Saints","1","2025","New Orleans","Saints","46","19.6","0.09","76.1","0.36","50.0","0.42","50.0","0.34","0.0","19.6","4.3","0.0","30.4","30.4","10.9"
"6","Denver Broncos","1","2025","Denver","Broncos","45","44.4","0.75","53.3","0.19","60.0","0.55","40.0","0.27","2.2","35.6","8.9","6.7","24.4","8.9","11.1"
"7","Detroit Lions","1","2025","Detroit","Lions","45","33.3","0.55","66.7","0.45","55.6","0.50","44.4","0.47","2.2","22.2","13.3","4.4","33.3","17.8","2.2"
"8","Philadelphia Eagles","1","2025","Philadelphia","Eagles","43","14.0","0.35","81.4","0.26","55.8","0.32","44.2","0.42","0.0","14.0","4.7","0.0","41.9","16.3","18.6"
"9","Arizona Cardinals","1","2025","Arizona","Cardinals","42","16.7","0.21","83.3","0.24","35.7","0.15","64.3","0.28","0.0","14.3","33.3","2.4","21.4","21.4","7.1"
"10","Indianapolis Colts","1","2025","Indianapolis","Colts","41","43.9","0.17","53.7","0.25","51.2","0.27","48.8","0.10","7.3","34.1","19.5","2.4","17.1","17.1","0.0"
"11","Cleveland Browns","1","2025","Cleveland","Browns","41","39.0","0.48","58.5","0.33","61.0","0.22","39.0","0.91","2.4","36.6","19.5","0.0","24.4","2.4","12.2"
"12","Carolina Panthers","1","2025","Carolina","Panthers","40","17.5","0.19","77.5","0.42","47.5","0.16","52.5","0.94","0.0","17.5","10.0","0.0","30.0","17.5","20.0"
"13","Washington Commanders","1","2025","Washington","Commanders","40","27.5","0.65","57.5","0.24","50.0","0.47","50.0","0.36","2.5","25.0","27.5","0.0","17.5","7.5","5.0"
"14","New England Patriots","1","2025","New England","Patriots","39","38.5","0.98","56.4","0.32","64.1","0.58","35.9","0.55","2.6","35.9","5.1","0.0","28.2","20.5","2.6"
"15","Seattle Seahawks","1","2025","Seattle","Seahawks","38","15.8","1.08","84.2","0.57","44.7","0.61","55.3","0.68","0.0","10.5","26.3","2.6","34.2","10.5","13.2"
"16","Tennessee Titans","1","2025","Tennessee","Titans","37","2.7","0.16","91.9","0.26","24.3","0.33","75.7","0.48","0.0","2.7","8.1","0.0","21.6","45.9","16.2"
"17","Minnesota Vikings","1","2025","Minnesota","Vikings","36","38.9","0.76","52.8","0.25","38.9","0.23","61.1","0.60","11.1","16.7","30.6","8.3","19.4","2.8","0.0"
"18","Buffalo Bills","1","2025","Buffalo","Bills","36","27.8","0.27","69.4","0.38","33.3","0.43","66.7","0.29","2.8","13.9","33.3","8.3","19.4","5.6","11.1"
"19","Baltimore Ravens","1","2025","Baltimore","Ravens","35","34.3","1.78","65.7","0.38","80.0","0.72","20.0","1.43","5.7","25.7","5.7","0.0","54.3","2.9","2.9"
"20","Miami Dolphins","1","2025","Miami","Dolphins","34","26.5","0.66","64.7","0.17","38.2","0.39","61.8","0.44","0.0","17.6","23.5","2.9","20.6","11.8","8.8"
"21","Tampa Bay Buccaneers","1","2025","Tampa Bay","Buccaneers","34","20.6","0.99","76.5","0.67","29.4","1.30","70.6","0.65","2.9","5.9","17.6","8.8","23.5","32.4","2.9"
"22","Kansas City Chiefs","1","2025","Kansas City","Chiefs","34","20.6","0.09","67.6","0.48","61.8","0.32","38.2","1.69","0.0","20.6","11.8","0.0","41.2","11.8","2.9"
"23","New York Jets","1","2025","New York","Jets","33","36.4","0.96","63.6","0.79","57.6","0.76","42.4","0.98","12.1","21.2","12.1","3.0","36.4","15.2","0.0"
"24","Los Angeles Chargers","1","2025","Los Angeles","Chargers","32","28.1","0.70","68.8","0.50","56.3","0.34","43.8","0.79","3.1","21.9","6.3","0.0","34.4","18.8","9.4"
"25","Las Vegas Raiders","1","2025","Las Vegas","Raiders","32","18.8","0.89","75.0","0.47","56.3","0.78","43.8","0.21","3.1","15.6","9.4","0.0","40.6","25.0","0.0"
"26","New York Giants","1","2025","New York","Giants","32","37.5","0.22","62.5","0.55","34.4","0.25","65.6","0.52","0.0","18.8","15.6","3.1","15.6","28.1","3.1"
"27","Cincinnati Bengals","1","2025","Cincinnati","Bengals","28","10.7","2.13","82.1","0.46","50.0","0.63","50.0","1.19","0.0","10.7","28.6","0.0","39.3","0.0","14.3"
"28","Houston Texans","1","2025","Houston","Texans","21","19.0","0.96","81.0","0.02","52.4","0.29","47.6","0.10","0.0","19.0","9.5","0.0","33.3","23.8","14.3"

"Rank","Rank, Most to Least"
"Name","Team"
"G","Games Played"
"DB","Dropbacks"
"MAN %","Dropback Man Coverage Rate"
"FP/DB","Man Fantasy Points per Dropback"
"ZONE %","Zone Coverage Rate"
"FP/DB","Zone Fantasy Points per Dropback"
"1-HI/MOF C %","Single High Safety/Middle of Field Closed Rate"
"FP/DB","Single High Safety/Middle of Field Closed Fantasy Points per Dropback"
"2-HI/MOF O %","Two High Safety/Middle of Field Open Rate"
"FP/DB","Two High Safety/Middle of Field Open Fantasy Points per Dropback"
"COVER 0 %","Cover 0 Rate"
"COVER 1 %","Cover 1 Rate"
"COVER 2 %","Cover 2 Rate"
"COVER 2 MAN %","Cover 2 Man Rate"
"COVER 3 %","Cover 3 Rate"
"COVER 4 %","Cover 4 Rate"
"COVER 6 %","Cover 6 Rate"
