game_id,teams,kickoff,stadium,home_team,away_team
2017_14_NO_ATL,NO@ATL,2017-12-07T20:25,Mercedes-Benz Stadium,ATL,NO
2017_14_IND_BUF,IND@BUF,2017-12-10T13:00,New Era Field,BUF,IND
2017_14_MIN_CAR,MIN@CAR,2017-12-10T13:00,Bank of America Stadium,CAR,MIN
2017_14_CHI_CIN,CHI@CIN,2017-12-10T13:00,Paul Brown Stadium,CIN,CHI
2017_14_GB_CLE,GB@CLE,2017-12-10T13:00,FirstEnergy Stadium,CLE,GB
2017_14_SF_HOU,SF@HOU,2017-12-10T13:00,NRG Stadium,HOU,SF
2017_14_OAK_KC,OAK@KC,2017-12-10T13:00,Arrowhead Stadium,KC,OAK
2017_14_DAL_NYG,DAL@NYG,2017-12-10T13:00,MetLife Stadium,NYG,DAL
2017_14_DET_TB,DET@TB,2017-12-10T13:00,Raymond James Stadium,TB,DET
2017_14_TEN_ARI,TEN@ARI,2017-12-10T16:05,University of Phoenix Stadium,ARI,TEN
2017_14_NYJ_DEN,NYJ@DEN,2017-12-10T16:05,Sports Authority Field at Mile High,DEN,NYJ
2017_14_WAS_LAC,WAS@LAC,2017-12-10T16:05,StubHub Center,LAC,WAS
2017_14_SEA_JAX,SEA@JAX,2017-12-10T16:25,EverBank Field,JAX,SEA
2017_14_PHI_LA,PHI@LA,2017-12-10T16:25,Los Angeles Memorial Coliseum,LA,PHI
2017_14_BAL_PIT,BAL@PIT,2017-12-10T20:30,Heinz Field,PIT,BAL
2017_14_NE_MIA,NE@MIA,2017-12-11T20:30,Hard Rock Stadium,MIA,NE
