game_id,teams,kickoff,stadium,home_team,away_team
2017_07_KC_OAK,KC@OAK,2017-10-19T20:25,Oakland-Alameda County Coliseum,OAK,KC
2017_07_TB_BUF,TB@BUF,2017-10-22T13:00,New Era Field,BUF,TB
2017_07_CAR_CHI,CAR@CHI,2017-10-22T13:00,Soldier Field,CHI,CAR
2017_07_TEN_CLE,TEN@CLE,2017-10-22T13:00,FirstEnergy Stadium,CLE,TEN
2017_07_NO_GB,NO@GB,2017-10-22T13:00,Lambeau Field,GB,NO
2017_07_JAX_IND,JAX@IND,2017-10-22T13:00,Lucas Oil Stadium,IND,JAX
2017_07_ARI_LA,ARI@LA,2017-10-22T13:00,Twickenham Stadium,LA,ARI
2017_07_NYJ_MIA,NYJ@MIA,2017-10-22T13:00,Hard Rock Stadium,MIA,NYJ
2017_07_BAL_MIN,BAL@MIN,2017-10-22T13:00,U.S. Bank Stadium,MIN,BAL
2017_07_DAL_SF,DAL@SF,2017-10-22T16:05,Levi's Stadium,SF,DAL
2017_07_DEN_LAC,DEN@LAC,2017-10-22T16:25,StubHub Center,LAC,DEN
2017_07_SEA_NYG,SEA@NYG,2017-10-22T16:25,MetLife Stadium,NYG,SEA
2017_07_CIN_PIT,CIN@PIT,2017-10-22T16:25,Heinz Field,PIT,CIN
2017_07_ATL_NE,ATL@NE,2017-10-22T20:30,Gillette Stadium,NE,ATL
2017_07_WAS_PHI,WAS@PHI,2017-10-23T20:30,Lincoln Financial Field,PHI,WAS
