game_id,teams,kickoff,stadium,home_team,away_team
2017_05_NE_TB,NE@TB,2017-10-05T20:25,Raymond James Stadium,TB,NE
2017_05_BUF_CIN,BUF@CIN,2017-10-08T13:00,Paul Brown Stadium,CIN,BUF
2017_05_NYJ_CLE,NYJ@CLE,2017-10-08T13:00,FirstEnergy Stadium,CLE,NYJ
2017_05_CAR_DET,CAR@DET,2017-10-08T13:00,Ford Field,DET,CAR
2017_05_SF_IND,SF@IND,2017-10-08T13:00,Lucas Oil Stadium,IND,SF
2017_05_TEN_MIA,TEN@MIA,2017-10-08T13:00,Hard Rock Stadium,MIA,TEN
2017_05_LAC_NYG,LAC@NYG,2017-10-08T13:00,MetLife Stadium,NYG,LAC
2017_05_ARI_PHI,ARI@PHI,2017-10-08T13:00,Lincoln Financial Field,PHI,ARI
2017_05_JAX_PIT,JAX@PIT,2017-10-08T13:00,Heinz Field,PIT,JAX
2017_05_SEA_LA,SEA@LA,2017-10-08T16:05,Los Angeles Memorial Coliseum,LA,SEA
2017_05_BAL_OAK,BAL@OAK,2017-10-08T16:05,Oakland-Alameda County Coliseum,OAK,BAL
2017_05_GB_DAL,GB@DAL,2017-10-08T16:25,AT&T Stadium,DAL,GB
2017_05_KC_HOU,KC@HOU,2017-10-08T20:30,NRG Stadium,HOU,KC
2017_05_MIN_CHI,MIN@CHI,2017-10-09T20:30,Soldier Field,CHI,MIN
