game_id,teams,home_score,away_score
2012_12_HOU_DET,HOU@DET,31,34
2012_12_WAS_DAL,WAS@DAL,31,38
2012_12_NE_NYJ,NE@NYJ,19,49
2012_12_MIN_CHI,MIN@CHI,28,10
2012_12_OAK_CIN,OAK@CIN,34,10
2012_12_PIT_CLE,PIT@CLE,20,14
2012_12_BUF_IND,BUF@IND,20,13
2012_12_TEN_JAX,TEN@JAX,24,19
2012_12_DEN_KC,DEN@KC,9,17
2012_12_SEA_MIA,SEA@MIA,24,21
2012_12_ATL_TB,ATL@TB,23,24
2012_12_BAL_SD,BAL@SD,13,16
2012_12_STL_ARI,STL@ARI,17,31
2012_12_SF_NO,SF@NO,21,31
2012_12_GB_NYG,GB@NYG,38,10
2012_12_CAR_PHI,CAR@PHI,22,30
