game_id,teams,home_score,away_score
2012_13_NO_ATL,NO@ATL,23,13
2012_13_JAX_BUF,JAX@BUF,34,18
2012_13_SEA_CHI,SEA@CHI,17,23
2012_13_IND_DET,IND@DET,33,35
2012_13_MIN_GB,MIN@GB,23,14
2012_13_CAR_KC,CAR@KC,27,21
2012_13_NE_MIA,NE@MIA,16,23
2012_13_ARI_NYJ,ARI@NYJ,7,6
2012_13_SF_STL,SF@STL,16,13
2012_13_HOU_TEN,HOU@TEN,10,24
2012_13_TB_DEN,TB@DEN,31,23
2012_13_PIT_BAL,PIT@BAL,20,23
2012_13_CLE_OAK,CLE@OAK,17,20
2012_13_CIN_SD,CIN@SD,13,20
2012_13_PHI_DAL,PHI@DAL,38,33
2012_13_NYG_WAS,NYG@WAS,17,16
