game_id,teams,home_score,away_score
2012_02_CHI_GB,CHI@GB,23,10
2012_02_KC_BUF,KC@BUF,35,17
2012_02_NO_CAR,NO@CAR,35,27
2012_02_CLE_CIN,CLE@CIN,34,27
2012_02_MIN_IND,MIN@IND,23,20
2012_02_HOU_JAX,HOU@JAX,7,27
2012_02_OAK_MIA,OAK@MIA,35,13
2012_02_ARI_NE,ARI@NE,18,20
2012_02_TB_NYG,TB@NYG,41,34
2012_02_BAL_PHI,BAL@PHI,24,23
2012_02_DAL_SEA,DAL@SEA,27,7
2012_02_WAS_STL,WAS@STL,31,28
2012_02_NYJ_PIT,NYJ@PIT,27,10
2012_02_TEN_SD,TEN@SD,38,10
2012_02_DET_SF,DET@SF,27,19
2012_02_DEN_ATL,DEN@ATL,27,21
