game_id,teams,home_score,away_score
2012_01_DAL_NYG,DAL@NYG,17,24
2012_01_IND_CHI,IND@CHI,41,21
2012_01_PHI_CLE,PHI@CLE,16,17
2012_01_STL_DET,STL@DET,27,23
2012_01_MIA_HOU,MIA@HOU,30,10
2012_01_ATL_KC,ATL@KC,24,40
2012_01_JAX_MIN,JAX@MIN,26,23
2012_01_WAS_NO,WAS@NO,32,40
2012_01_BUF_NYJ,BUF@NYJ,48,28
2012_01_NE_TEN,NE@TEN,13,34
2012_01_SEA_ARI,SEA@ARI,20,16
2012_01_SF_GB,SF@GB,22,30
2012_01_CAR_TB,CAR@TB,16,10
2012_01_PIT_DEN,PIT@DEN,31,19
2012_01_CIN_BAL,CIN@BAL,44,13
2012_01_SD_OAK,SD@OAK,14,22
