game_id,teams,kickoff,stadium,home_team,away_team
2011_04_CAR_CHI,CAR@CHI,2011-10-02T13:00,Soldier Field,CHI,CAR
2011_04_BUF_CIN,BUF@CIN,2011-10-02T13:00,Paul Brown Stadium,CIN,BUF
2011_04_TEN_CLE,TEN@CLE,2011-10-02T13:00,Cleveland Browns Stadium,CLE,TEN
2011_04_DET_DAL,DET@DAL,2011-10-02T13:00,Cowboys Stadium,DAL,DET
2011_04_PIT_HOU,PIT@HOU,2011-10-02T13:00,Reliant Stadium,HOU,PIT
2011_04_NO_JAX,NO@JAX,2011-10-02T13:00,EverBank Field,JAX,NO
2011_04_MIN_KC,MIN@KC,2011-10-02T13:00,Arrowhead Stadium,KC,MIN
2011_04_SF_PHI,SF@PHI,2011-10-02T13:00,Lincoln Financial Field,PHI,SF
2011_04_WAS_STL,WAS@STL,2011-10-02T13:00,Edward Jones Dome,STL,WAS
2011_04_NYG_ARI,NYG@ARI,2011-10-02T16:05,University of Phoenix Stadium,ARI,NYG
2011_04_ATL_SEA,ATL@SEA,2011-10-02T16:05,CenturyLink Field,SEA,ATL
2011_04_DEN_GB,DEN@GB,2011-10-02T16:15,Lambeau Field,GB,DEN
2011_04_NE_OAK,NE@OAK,2011-10-02T16:15,O.co Coliseum,OAK,NE
2011_04_MIA_SD,MIA@SD,2011-10-02T16:15,Qualcomm Stadium,SD,MIA
2011_04_NYJ_BAL,NYJ@BAL,2011-10-02T20:20,M&T Bank Stadium,BAL,NYJ
2011_04_IND_TB,IND@TB,2011-10-03T20:30,Raymond James Stadium,TB,IND
