game_id,teams,kickoff,stadium,home_team,away_team
2011_16_HOU_IND,HOU@IND,2011-12-22T20:20,Lucas Oil Stadium,IND,HOU
2011_16_CLE_BAL,CLE@BAL,2011-12-24T13:00,M&T Bank Stadium,BAL,CLE
2011_16_DEN_BUF,DEN@BUF,2011-12-24T13:00,Ralph Wilson Stadium,BUF,DEN
2011_16_TB_CAR,TB@CAR,2011-12-24T13:00,Bank of America Stadium,CAR,TB
2011_16_ARI_CIN,ARI@CIN,2011-12-24T13:00,Paul Brown Stadium,CIN,ARI
2011_16_OAK_KC,OAK@KC,2011-12-24T13:00,Arrowhead Stadium,KC,OAK
2011_16_MIA_NE,MIA@NE,2011-12-24T13:00,Gillette Stadium,NE,MIA
2011_16_NYG_NYJ,NYG@NYJ,2011-12-24T13:00,MetLife Stadium,NYJ,NYG
2011_16_STL_PIT,STL@PIT,2011-12-24T13:00,Heinz Field,PIT,STL
2011_16_JAX_TEN,JAX@TEN,2011-12-24T13:00,LP Field,TEN,JAX
2011_16_MIN_WAS,MIN@WAS,2011-12-24T13:00,FedExField,WAS,MIN
2011_16_SD_DET,SD@DET,2011-12-24T16:05,Ford Field,DET,SD
2011_16_PHI_DAL,PHI@DAL,2011-12-24T16:15,Cowboys Stadium,DAL,PHI
2011_16_SF_SEA,SF@SEA,2011-12-24T16:15,CenturyLink Field,SEA,SF
2011_16_CHI_GB,CHI@GB,2011-12-25T20:20,Lambeau Field,GB,CHI
2011_16_ATL_NO,ATL@NO,2011-12-26T20:30,Mercedes-Benz Superdome,NO,ATL
