game_id,teams,kickoff,stadium,home_team,away_team
2011_09_NYJ_BUF,NYJ@BUF,2011-11-06T13:00,Ralph Wilson Stadium,BUF,NYJ
2011_09_SEA_DAL,SEA@DAL,2011-11-06T13:00,Cowboys Stadium,DAL,SEA
2011_09_CLE_HOU,CLE@HOU,2011-11-06T13:00,Reliant Stadium,HOU,CLE
2011_09_ATL_IND,ATL@IND,2011-11-06T13:00,Lucas Oil Stadium,IND,ATL
2011_09_MIA_KC,MIA@KC,2011-11-06T13:00,Arrowhead Stadium,KC,MIA
2011_09_TB_NO,TB@NO,2011-11-06T13:00,Mercedes-Benz Superdome,NO,TB
2011_09_SF_WAS,SF@WAS,2011-11-06T13:00,FedExField,WAS,SF
2011_09_DEN_OAK,DEN@OAK,2011-11-06T16:05,O.co Coliseum,OAK,DEN
2011_09_CIN_TEN,CIN@TEN,2011-11-06T16:05,LP Field,TEN,CIN
2011_09_STL_ARI,STL@ARI,2011-11-06T16:15,University of Phoenix Stadium,ARI,STL
2011_09_NYG_NE,NYG@NE,2011-11-06T16:15,Gillette Stadium,NE,NYG
2011_09_GB_SD,GB@SD,2011-11-06T16:15,Qualcomm Stadium,SD,GB
2011_09_BAL_PIT,BAL@PIT,2011-11-06T20:20,Heinz Field,PIT,BAL
2011_09_CHI_PHI,CHI@PHI,2011-11-07T20:30,Lincoln Financial Field,PHI,CHI
