game_id,market_closing_total
2014_13_CHI_DET,46.0
2014_13_PHI_DAL,56.5
2014_13_SEA_SF,40.0
2014_13_SD_BAL,45.5
2014_13_CLE_BUF,42.0
2014_13_TEN_HOU,43.0
2014_13_WAS_IND,48.5
2014_13_NYG_JAX,44.0
2014_13_CAR_MIN,41.5
2014_13_NO_PIT,54.5
2014_13_OAK_STL,43.0
2014_13_CIN_TB,43.5
2014_13_ARI_ATL,45.5
2014_13_NE_GB,57.0
2014_13_DEN_KC,49.0
2014_13_MIA_NYJ,41.5
