game_id,teams,home_score,away_score
2018_13_NO_DAL,NO@DAL,13,10
2018_13_BAL_ATL,BAL@ATL,16,26
2018_13_DEN_CIN,DEN@CIN,10,24
2018_13_LA_DET,LA@DET,16,30
2018_13_ARI_GB,ARI@GB,17,20
2018_13_CLE_HOU,CLE@HOU,29,13
2018_13_IND_JAX,IND@JAX,6,0
2018_13_BUF_MIA,BUF@MIA,21,17
2018_13_CHI_NYG,CHI@NYG,30,27
2018_13_CAR_TB,CAR@TB,24,17
2018_13_KC_OAK,KC@OAK,33,40
2018_13_NYJ_TEN,NYJ@TEN,26,22
2018_13_MIN_NE,MIN@NE,24,10
2018_13_SF_SEA,SF@SEA,43,16
2018_13_LAC_PIT,LAC@PIT,30,33
2018_13_WAS_PHI,WAS@PHI,28,13
