game_id,teams,home_score,away_score
2018_02_BAL_CIN,BAL@CIN,34,23
2018_02_CAR_ATL,CAR@ATL,31,24
2018_02_LAC_BUF,LAC@BUF,20,31
2018_02_MIN_GB,MIN@GB,29,29
2018_02_CLE_NO,CLE@NO,21,18
2018_02_MIA_NYJ,MIA@NYJ,12,20
2018_02_KC_PIT,KC@PIT,37,42
2018_02_PHI_TB,PHI@TB,27,21
2018_02_HOU_TEN,HOU@TEN,20,17
2018_02_IND_WAS,IND@WAS,9,21
2018_02_ARI_LA,ARI@LA,34,0
2018_02_DET_SF,DET@SF,30,27
2018_02_OAK_DEN,OAK@DEN,20,19
2018_02_NE_JAX,NE@JAX,31,20
2018_02_NYG_DAL,NYG@DAL,20,13
2018_02_SEA_CHI,SEA@CHI,24,17
